#,令和7年度 公共下水道 使用料集計ブックの度数分布（個人情報を含まない集計値）
#,使用料（㎥）は集計ブックの水量欄。空欄は水量不詳（基本水量内・日割等）
#,"請求金額が空欄の行は「〜2,216」＝基本水量未満の日割（第18条第4項／漁集は第20条第4項）"
使用料（㎥）,請求金額,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
,,41,110,13,52,5,47,15,54,8,58,17,71
,2217,,275,,275,,271,,281,,289,,266
,2220,,,,,,1,,,,,,
,2222,,,,1,,1,,1,,,,
,2226,,,,,,,,,,,,1
,2229,,,,,,,,,,,,1
,2231,,1,,,,,,,,,,
,2236,,1,,,,,,,,,,
,2246,,,,,,,,,,1,,
11,2258,,34,,38,,28,,35,,43,,35
,2281,,,,,,,,,,,,1
12,2299,,30,,32,,38,,33,,40,,26
,2303,,,,,,,,1,,,,
,2304,,,1,,,,,,,,,
,2311,,,,,,,,,,,,1
13,2339,,34,,37,,31,,23,,32,,25
,2352,,1,,,,,,,,,,
,2368,,,,,,1,,,,,,
14,2380,,34,,30,,26,,35,,31,,36
15,2421,,27,,26,,22,,28,,33,,33
16,2461,,26,,22,,28,,39,,35,,26
,2466,,,,,,1,,,,,,
17,2502,,28,,34,,31,,26,,40,,22
,2506,,,,,,,,1,,,,
18,2543,,30,,18,,21,,38,,37,,38
,2547,,,,1,,1,,,,,,
,2590,1,,,,,,,,,,,
19,2583,,30,,40,,34,,28,,28,,25
,2998,1,,,,,,,,,,,
20,2624,,27,,37,,33,,29,,28,,37
,2636,,,,,,,,,,1,,
,2664,,,,,,,,1,,,,
,2665,,,,,,,,,,,,1
,2706,,1,,,,,,,,,,
21,2816,,32,,27,,29,,32,,25,,26
,2855,,,,,,1,,,,,,
,2868,,1,,,,,,,,,,
,2934,,,,,,1,,,,,,
22,3007,,26,,21,,25,,25,,30,,26
,3021,,,,,,,,,,,,1
,3047,,,,,,,,,,1,,
,3170,,,,,,,,,,,,1
,3174,,,,,,,,,,1,,
23,3198,,18,,22,,21,,20,,20,,32
,3223,,,,,,,,,,1,,
,3238,,,,,,,,,,,,1
,3239,,,,,,,,,,,,1
,3292,,,,1,,,,,,,,
,3317,,1,,,,,,,,,,
24,3390,,20,,26,,26,,19,,23,,30
21,3417,,,,,,1,,,,,,
,3440,,1,,,,,,,,,,
,3489,,,,1,,,,,,,,
,3557,,,,,,,,,,1,,
25,3581,,26,,27,,27,,26,,32,,16
,3621,,1,,,,,,1,,,,
26,3773,,29,,30,,27,,36,,23,,24
,3812,,,,1,,,,,,,,
27,3964,,21,,31,,32,,25,,28,,21
,4004,,,,,,2,,,,,,
,4011,,,,,,,,,,1,,
,4119,,,,1,,1,,,,,,
28,4155,,20,,26,,26,,20,,21,,25
29,4347,,25,,25,,35,,25,,21,,21
30,4538,,21,,19,,22,,8,,20,,30
,4550,,,,,,,,,,,,1
31,4730,,12,,14,,24,,22,,18,,28
28,4757,,,,,,,1,,,,,
32,4921,,14,,19,,18,,18,,17,,17
,5076,,,,,,,,1,,,,
33,5112,,20,,18,,19,,18,,17,,13
30,5140,1,,,,,,,,,,,
,5280,,,,,,,,,,1,,
34,5304,,18,,20,,17,,18,,8,,12
35,5495,,8,,10,,6,,13,,12,,17
,5535,,,,,,,,,,,,1
36,5687,,10,,14,,20,,19,,15,,14
,5842,,,,,,1,,,,,,
37,5878,,18,,14,,14,,17,,16,,10
,6045,,,,,,,,,,1,,
38,6069,,13,,11,,13,,15,,10,,9
,6109,,,,1,,,,,,,,
,6146,,1,,,,,,,,,,
39,6261,,8,,12,,7,,9,,17,,15
40,6452,,15,,9,,15,,15,,13,,20
41,6644,,7,,12,,8,,12,,14,,13
38,6671,,,,,,,,,,,1,
42,6835,,16,,11,,18,,15,,14,,10
,6990,,,,,,1,,,,,,
43,7026,,13,,13,,16,,13,,8,,10
,7066,,1,,,,,,,,,,
44,7218,,10,,12,,4,,9,,7,,5
45,7409,,11,,10,,6,,7,,11,,12
42,7437,,,,,,,1,,1,1,,
46,7601,,4,,5,,5,,3,,7,,11
43,7628,,,,,,,,,,,,1
47,7792,,13,,10,,13,,11,,5,,11
44,7819,,,1,,,,,,,,,
48,7983,,7,,6,,17,,9,,9,,9
49,8175,,3,,5,,6,,,,5,,8
46,8202,,,,,1,,,,,,,1
,8330,,,,1,,,,,,,,
50,8366,,13,,10,,8,,5,,3,,4
51,8558,,12,,11,,6,,9,,6,,12
48,8585,,,,1,,,,,,,1,
52,8749,,7,,8,,12,,5,,7,,4
49,8776,,1,,1,,,,1,,,,
53,8940,,8,,5,,10,,8,,4,,8
54,9132,,4,,9,,6,,7,,8,,3
55,9323,,10,,6,,7,,8,,10,,9
52,9408,1,,,,,,,,1,,,
56,9515,,2,,11,,8,,10,,5,,9
,9602,,,,,1,,,,,,,
57,9706,,5,,2,,7,,4,,5,,3
54,9848,,1,,,,1,2,1,,,,
,9861,,,,1,,,,,,,,
58,9897,,6,,5,,4,,2,,2,,5
59,10089,,5,,8,,5,,4,,2,,6
60,10280,,5,,3,,2,,3,,5,,11
56,10288,,,1,,,,,,,,,
61,10472,,2,,5,,1,,5,,,,2
62,10663,,2,,2,,2,,7,,4,,5
63,10854,,1,,8,,4,,2,,2,,3
,11024,,,,,,,,,,,,1
64,11046,,2,,1,,1,,,,2,,3
65,11237,,9,,2,,2,,1,,2,,2
66,11429,,3,,2,,6,,3,,2,,2
62,11608,,,,,,,,,,1,,
67,11620,,2,,2,,2,,3,,5,,1
68,11811,,,,3,,,,1,,,,4
69,12003,,,,1,,1,,3,,1,,3
70,12194,,,,,,,,,,,,2
71,12386,,1,,,,1,,2,,,,
72,12577,,1,,,,3,,2,,1,,1
73,12768,,,,3,,3,,0,,1,,2
,12841,,,,,,,,,,,1,
74,12960,,1,,2,,3,,3,,1,,1
,13148,,,,1,,,,,,,,
75,13151,,2,,,,2,,2,,,,2
,13295,,,,,,,,1,,,,
76,13343,,,,,,,,3,,2,,1
77,13534,,2,,,,,,2,,,,
78,13725,,,,1,,,,,,1,,
79,13917,,,,,,,,1,,1,,
,14028,,,,,1,,,,,,,
80,14108,,,,2,,,,,,,,2
81,14300,,2,,1,,1,,,,,,
82,14491,,1,,,,3,,2,,2,,1
83,14682,,2,,,,1,,,,1,,
84,14874,,,,2,,,,,,,,
85,15065,,,,1,,1,,,,1,,
86,15257,,1,,,,,,1,,1,,1
87,15448,,1,,,,,,2,,,,
88,15639,,,,2,,,,,,,,1
,15831,,,,,,1,,1,,,,
90,16022,,,,,,1,,,,,,
91,16214,,,,1,,,,,,,,
92,16405,,,,,,,,1,,1,,
93,16596,,,,,,,,,,,,1
94,16788,,,,,,,,,,,,1
95,16979,,,,,,,,,,,,1
87,17108,,1,,,1,,,,,,,
96,17171,,1,,1,,1,,,,,,
88,17328,,,,1,,,,,,,,
97,17362,,,,1,,,,1,,,,
98,17553,,,,,,,,1,,,,
99,17745,,,,,,,,,,1,,
100,17936,,,,,,,,,,1,,1
101,18156,,1,,,,,,,,1,,2
103,18596,,1,,,,,,,,,,
94,18648,,,1,,,,,,,,,
104,18816,,,,,,2,,,,,,
95,18868,,,,,,,,,,,1,
106,19256,,,,,,,,,,,,1
98,19528,1,,,,,,1,,,,,
99,19748,,,,,,1,,,,,,
,20356,,,,,,,,1,,,,
102,20408,,,,,,,,1,,,,
103,20628,,,,,,,,,1,,,1
113,20796,,,,,,,,,,,,1
114,21016,,,,,,,,,,,,1
116,21456,,,,,,,,,,1,,
