#,令和7年度 漁業集落排水 使用料集計ブックの度数分布（個人情報を含まない集計値）
#,使用料（㎥）は集計ブックの水量欄。空欄は水量不詳（基本水量内・日割等）
#,"請求金額が空欄の行は「〜2,216」＝基本水量未満の日割（第18条第4項／漁集は第20条第4項）"
使用料（㎥）,請求金額,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
,2217,,50,,48,1,35,1,50,1,56,,46
11,2258,,4,,4,,6,,8,,9,,3
12,2299,,7,,6,,4,,7,,5,,6
13,2339,,6,,8,,2,,4,,6,,6
14,2380,,3,,3,,6,,5,,7,,5
15,2421,,4,,6,,10,,7,,4,,7
16,2461,,6,,3,,7,,2,,4,,2
17,2502,,6,,6,,3,,4,,2,,3
18,2543,,5,1,2,,6,,4,,4,,5
19,2583,,4,,5,,4,,4,,3,,8
20,2624,,2,,4,,3,,4,,6,,7
21,2816,,6,,6,,3,,2,,9,,5
21,3417,,,,,,,,,,,1,
22,3007,,4,,5,,7,,5,,5,,5
23,3198,,7,,4,,6,,6,,3,,5
24,3390,,6,,4,,3,,6,,6,,3
24,3991,,,,,,,,,,,,1
25,3581,,12,,3,,3,,4,,6,,6
26,3773,,4,,7,,7,,4,,4,,9
27,3964,,5,,3,,1,,9,,6,,7
28,4155,,4,,7,,6,,3,,4,,1
29,4347,,6,,6,,7,,5,,7,,1
29,4948,,,,,,,,,1,,,
30,4538,,4,,7,,5,,7,,4,,5
31,4682,,,,,,,,,,1,,
31,4730,,4,,5,,4,,7,,3,,4
32,4921,,5,,5,,3,,2,,3,,4
33,5112,,4,,4,,3,,3,,,,8
34,5304,,1,,3,,5,,4,,2,,1
35,5495,,2,,1,,2,,4,,3,,2
36,5687,,4,,2,,7,,4,,3,,5
37,5878,,2,,5,,6,,3,,4,,1
38,6069,,2,,4,,3,,4,,2,,3
39,6261,,4,,5,,4,,2,,4,,2
40,6452,,1,,1,,3,,2,,2,,
41,6644,,,,1,,2,,1,,2,,4
42,6835,,2,,,,4,,2,,2,,2
43,7026,,,,4,,3,,1,,2,,2
44,7218,,2,,5,,3,,1,,,,1
45,7409,,4,,3,,5,,1,,4,,3
46,7601,,2,,3,,1,,3,,4,,1
47,7792,,1,,3,,2,,4,,3,,2
48,7983,,2,,1,,2,,2,,5,,4
49,8175,,4,,2,,5,,3,,4,,3
50,8366,,2,,1,,4,,5,,1,,2
51,8558,,4,,1,,,,1,,1,,3
52,8749,,,,1,,1,,2,,2,,3
53,8940,,3,,3,,6,,3,,,,5
54,9059,,,,1,,,,,,,,
54,9132,,1,,1,,1,,3,,2,,4
55,9323,,3,,2,,3,,1,,,,1
56,9478,,1,,,,,,,,,,
56,9515,,1,,2,,,,2,,2,,
57,9706,,3,,1,,1,,3,,,,1
58,9897,,1,,7,,,,2,,1,,3
59,10089,,,,,,1,,,,2,,1
60,10280,,1,,1,,2,,1,,,,
60,11168,,,,,,,,1,,,,
61,10472,,1,,1,,,,1,,1,,1
62,10663,,,,1,,,,,,,,3
63,10854,,3,,,,2,,,,,,
64,11046,,,,,,2,,,,,,
65,11237,,,,,,2,,1,,,,
66,11429,,,,,,1,,1,,,,
67,11620,,,,,,,,,,1,,
68,11811,,,,,,1,,,,1,,1
69,12003,,1,,1,,,,,,,,1
70,12194,,2,,1,,,,,,,,
71,12386,,,,,,,,1,,,,
72,12577,,,,,,1,,,,,,
73,12768,,,,,,,,,,,,1
74,12960,,,,,,1,,,,,,
75,13151,,,,,,,,1,,,,
76,13343,,,,,,,,1,,,,
77,13534,,,,,,,,,,1,,
79,13917,,,,1,,,,,,1,,
81,14300,,1,,,,,,1,,,,
82,14491,,1,,,,,,,,1,,
83,14682,,,,,,1,,,,,,1
84,14874,,1,,,,,,1,,1,,1
85,15065,,1,,,,1,,,,,,
86,15257,,1,,,,1,,,,1,,
87,15448,,,,1,,,,1,,,,
88,15639,,,,3,,,,,,,,
90,16022,,1,,,,1,,,,,,
92,16405,,,,,,,,,,,,1
93,16596,,,,1,,,,,,,,
96,17171,,,,,,,,,,,,1
97,17362,,,,,,1,,,,,,
98,17553,,,,,,,,1,,,,
99,17745,,,,,,1,,,,,,1
101,18156,,,,,,,,,,1,,
104,18816,,,,,,,,1,,,,
106,19256,,,,,,,,,,1,,
112,20576,,,,,,,,,,,,1
114,21016,,,,,,1,,,,,,1
115,21236,,,,1,,,,,,,,
119,22116,,,,,,1,,,,,,
127,23876,,1,,,,,,,,,,
129,24316,,,,,,,,,,1,,
137,28108,,,,,,,1,,,,,
138,26296,,,,,,,,1,,,,
140,26736,,1,,,,,,,,,,
142,27176,,,,1,,,,,,,,
145,27836,,,,,,1,,,,,,
153,29596,,,,,,,,,,,,1
271,55556,,,,,,,,,,,,1
275,56436,,,,,,,,,,1,,
291,59956,,1,,,,,,,,,,
327,67876,,,,,,,,1,,,,
333,69196,,1,,,,,,,,,,
335,69636,,,,1,,,,,,,,
378,79096,,,,,,1,,,,,,
