#,隔月検針のため1請求＝2か月分。2か月水量Vに対し区分境界を2倍(10/20/100㎥)して適用し、税込額は1円未満切捨て
2か月水量(㎥),税抜額(円),現行 請求額(円・税込),案1 請求額(円・税込),差額(円),増減率(%)
1,2016,2217,2440,223,10.06
2,2016,2217,2440,223,10.06
3,2016,2217,2440,223,10.06
4,2016,2217,2440,223,10.06
5,2016,2217,2440,223,10.06
6,2016,2217,2440,223,10.06
7,2016,2217,2440,223,10.06
8,2016,2217,2440,223,10.06
9,2016,2217,2440,223,10.06
10,2016,2217,2440,223,10.06
11,2053,2258,2485,227,10.05
12,2090,2299,2531,232,10.09
13,2127,2339,2576,237,10.13
14,2164,2380,2622,242,10.17
15,2201,2421,2667,246,10.16
16,2238,2461,2713,252,10.24
17,2275,2502,2758,256,10.23
18,2312,2543,2804,261,10.26
19,2349,2583,2849,266,10.30
20,2386,2624,2895,271,10.33
21,2560,2816,3106,290,10.30
22,2734,3007,3318,311,10.34
23,2908,3198,3529,331,10.35
24,3082,3390,3741,351,10.35
25,3256,3581,3952,371,10.36
26,3430,3773,4164,391,10.36
27,3604,3964,4375,411,10.37
28,3778,4155,4587,432,10.40
29,3952,4347,4798,451,10.37
30,4126,4538,5010,472,10.40
31,4300,4730,5221,491,10.38
32,4474,4921,5433,512,10.40
33,4648,5112,5644,532,10.41
34,4822,5304,5856,552,10.41
35,4996,5495,6067,572,10.41
36,5170,5687,6279,592,10.41
37,5344,5878,6490,612,10.41
38,5518,6069,6702,633,10.43
39,5692,6261,6913,652,10.41
40,5866,6452,7125,673,10.43
41,6040,6644,7336,692,10.42
42,6214,6835,7548,713,10.43
43,6388,7026,7759,733,10.43
44,6562,7218,7971,753,10.43
45,6736,7409,8182,773,10.43
46,6910,7601,8394,793,10.43
47,7084,7792,8605,813,10.43
48,7258,7983,8817,834,10.45
49,7432,8175,9028,853,10.43
50,7606,8366,9240,874,10.45
60,9346,10280,11355,1075,10.46
70,11086,12194,13470,1276,10.46
80,12826,14108,15585,1477,10.47
90,14566,16022,17700,1678,10.47
100,16306,17936,19815,1879,10.48
101,16506,18156,20057,1901,10.47
110,18306,20136,22235,2099,10.42
150,26306,28936,31915,2979,10.30
200,36306,39936,44015,4079,10.21
300,56306,61936,68215,6279,10.14
378,71906,79096,87091,7995,10.11
500,96306,105936,116615,10679,10.08
766,149506,164456,180987,16531,10.05
