#,漁業集落排水 R7年度 金額別度数分布／出典：【R7】使用料集計ブック R7漁集 (件数)
#,区分：通常算定＝金額から水量が一意に定まる／基本料金帯＝1〜10㎥のいずれでも同額で水量不詳／特殊算定＝日割・異動等で料金式に一致しない
#,案1調定額は、通常算定・基本料金帯は水量から再計算、特殊算定は現行調定額×1.10で算定
2か月水量(㎥),現行請求額(円),区分,5月,7月,9月,11月,1月,3月,件数計,現行調定額(円),案1請求額(円),案1調定額(円)
～10,2217,基本料金帯,50,48,35,50,56,46,285,631845,2440,695400
11,2258,通常算定,4,4,6,8,9,3,34,76772,2485,84490
12,2299,通常算定,7,6,4,7,5,6,35,80465,2531,88585
13,2339,通常算定,6,8,2,4,6,6,32,74848,2576,82432
14,2380,通常算定,3,3,6,5,7,5,29,69020,2622,76038
15,2421,通常算定,4,6,10,7,4,7,38,91998,2667,101346
16,2461,通常算定,6,3,7,2,4,2,24,59064,2713,65112
17,2502,通常算定,6,6,3,4,2,3,24,60048,2758,66192
18,2543,通常算定,5,2,6,4,4,5,26,66118,2804,72904
19,2583,通常算定,4,5,4,4,3,8,28,72324,2849,79772
20,2624,通常算定,2,4,3,4,6,7,26,68224,2895,75270
21,2816,通常算定,6,6,3,2,9,5,31,87296,3106,96286
22,3007,通常算定,4,5,7,5,5,5,31,93217,3318,102858
23,3198,通常算定,7,4,6,6,3,5,31,99138,3529,109399
24,3390,通常算定,6,4,3,6,6,3,28,94920,3741,104748
24,3991,特殊算定,,,,,,1,1,3991,現行×1.10,4390
25,3581,通常算定,12,3,3,4,6,6,34,121754,3952,134368
26,3773,通常算定,4,7,7,4,4,9,35,132055,4164,145740
27,3964,通常算定,5,3,1,9,6,7,31,122884,4375,135625
28,4155,通常算定,4,7,6,3,4,1,25,103875,4587,114675
29,4347,通常算定,6,6,7,5,7,1,32,139104,4798,153536
30,4538,通常算定,4,7,5,7,4,5,32,145216,5010,160320
31,4682,特殊算定,,,,,1,,1,4682,現行×1.10,5150
31,4730,通常算定,4,5,4,7,3,4,27,127710,5221,140967
32,4921,通常算定,5,5,3,2,3,4,22,108262,5433,119526
33,5112,通常算定,4,4,3,3,,8,22,112464,5644,124168
34,5304,通常算定,1,3,5,4,2,1,16,84864,5856,93696
35,5495,通常算定,2,1,2,4,3,2,14,76930,6067,84938
36,5687,通常算定,4,2,7,4,3,5,25,142175,6279,156975
37,5878,通常算定,2,5,6,3,4,1,21,123438,6490,136290
38,6069,通常算定,2,4,3,4,2,3,18,109242,6702,120636
39,6261,通常算定,4,5,4,2,4,2,21,131481,6913,145173
40,6452,通常算定,1,1,3,2,2,,9,58068,7125,64125
41,6644,通常算定,,1,2,1,2,4,10,66440,7336,73360
42,6835,通常算定,2,,4,2,2,2,12,82020,7548,90576
43,7026,通常算定,,4,3,1,2,2,12,84312,7759,93108
44,7218,通常算定,2,5,3,1,,1,12,86616,7971,95652
45,7409,通常算定,4,3,5,1,4,3,20,148180,8182,163640
46,7601,通常算定,2,3,1,3,4,1,14,106414,8394,117516
47,7792,通常算定,1,3,2,4,3,2,15,116880,8605,129075
48,7983,通常算定,2,1,2,2,5,4,16,127728,8817,141072
49,8175,通常算定,4,2,5,3,4,3,21,171675,9028,189588
50,8366,通常算定,2,1,4,5,1,2,15,125490,9240,138600
51,8558,通常算定,4,1,,1,1,3,10,85580,9451,94510
52,8749,通常算定,,1,1,2,2,3,9,78741,9663,86967
53,8940,通常算定,3,3,6,3,,5,20,178800,9874,197480
54,9059,特殊算定,,1,,,,,1,9059,現行×1.10,9965
54,9132,通常算定,1,1,1,3,2,4,12,109584,10086,121032
55,9323,通常算定,3,2,3,1,,1,10,93230,10297,102970
56,9478,特殊算定,1,,,,,,1,9478,現行×1.10,10426
56,9515,通常算定,1,2,,2,2,,7,66605,10509,73563
57,9706,通常算定,3,1,1,3,,1,9,87354,10720,96480
58,9897,通常算定,1,7,,2,1,3,14,138558,10932,153048
59,10089,通常算定,,,1,,2,1,4,40356,11143,44572
60,10280,通常算定,1,1,2,1,,,5,51400,11355,56775
60,11168,特殊算定,,,,1,,,1,11168,現行×1.10,12285
61,10472,通常算定,1,1,,1,1,1,5,52360,11566,57830
62,10663,通常算定,,1,,,,3,4,42652,11778,47112
63,10854,通常算定,3,,2,,,,5,54270,11989,59945
64,11046,通常算定,,,2,,,,2,22092,12201,24402
65,11237,通常算定,,,2,1,,,3,33711,12412,37236
66,11429,通常算定,,,1,1,,,2,22858,12624,25248
67,11620,通常算定,,,,,1,,1,11620,12835,12835
68,11811,通常算定,,,1,,1,1,3,35433,13047,39141
69,12003,通常算定,1,1,,,,1,3,36009,13258,39774
70,12194,通常算定,2,1,,,,,3,36582,13470,40410
71,12386,通常算定,,,,1,,,1,12386,13681,13681
72,12577,通常算定,,,1,,,,1,12577,13893,13893
73,12768,通常算定,,,,,,1,1,12768,14104,14104
74,12960,通常算定,,,1,,,,1,12960,14316,14316
75,13151,通常算定,,,,1,,,1,13151,14527,14527
76,13343,通常算定,,,,1,,,1,13343,14739,14739
77,13534,通常算定,,,,,1,,1,13534,14950,14950
79,13917,通常算定,,1,,,1,,2,27834,15373,30746
81,14300,通常算定,1,,,1,,,2,28600,15796,31592
82,14491,通常算定,1,,,,1,,2,28982,16008,32016
83,14682,通常算定,,,1,,,1,2,29364,16219,32438
84,14874,通常算定,1,,,1,1,1,4,59496,16431,65724
85,15065,通常算定,1,,1,,,,2,30130,16642,33284
86,15257,通常算定,1,,1,,1,,3,45771,16854,50562
87,15448,通常算定,,1,,1,,,2,30896,17065,34130
88,15639,通常算定,,3,,,,,3,46917,17277,51831
90,16022,通常算定,1,,1,,,,2,32044,17700,35400
92,16405,通常算定,,,,,,1,1,16405,18123,18123
93,16596,通常算定,,1,,,,,1,16596,18334,18334
96,17171,通常算定,,,,,,1,1,17171,18969,18969
97,17362,通常算定,,,1,,,,1,17362,19180,19180
98,17553,通常算定,,,,1,,,1,17553,19392,19392
99,17745,通常算定,,,1,,,1,2,35490,19603,39206
101,18156,通常算定,,,,,1,,1,18156,20057,20057
104,18816,通常算定,,,,1,,,1,18816,20783,20783
106,19256,通常算定,,,,,1,,1,19256,21267,21267
112,20576,通常算定,,,,,,1,1,20576,22719,22719
114,21016,通常算定,,,1,,,1,2,42032,23203,46406
115,21236,通常算定,,1,,,,,1,21236,23445,23445
119,22116,通常算定,,,1,,,,1,22116,24413,24413
127,23876,通常算定,1,,,,,,1,23876,26349,26349
129,24316,通常算定,,,,,1,,1,24316,26833,26833
138,26296,通常算定,,,,1,,,1,26296,29011,29011
140,26736,通常算定,1,,,,,,1,26736,29495,29495
142,27176,通常算定,,1,,,,,1,27176,29979,29979
145,27836,通常算定,,,1,,,,1,27836,30705,30705
153,29596,通常算定,,,,,,1,1,29596,32641,32641
271,55556,通常算定,,,,,,1,1,55556,61197,61197
275,56436,通常算定,,,,,1,,1,56436,62165,62165
291,59956,通常算定,1,,,,,,1,59956,66037,66037
327,67876,通常算定,,,,1,,,1,67876,74749,74749
333,69196,通常算定,1,,,,,,1,69196,76201,76201
335,69636,通常算定,,1,,,,,1,69636,76685,76685
378,79096,通常算定,,,1,,,,1,79096,87091,87091
合計,,,,,,,,,1429,7373849,,8136688
