#,公共下水道 R7年度 金額別度数分布／出典：【R7】使用料集計ブック R7公共 (件数) 
#,区分：通常算定＝金額から水量が一意に定まる／基本料金帯＝1〜10㎥のいずれでも同額で水量不詳／特殊算定＝日割・異動等で料金式に一致しない
#,案1調定額は、通常算定・基本料金帯は水量から再計算、特殊算定は現行調定額×1.10で算定
2か月水量(㎥),現行請求額(円),区分,5月,7月,9月,11月,1月,3月,件数計,現行調定額(円),案1請求額(円),案1調定額(円)
,"〜2,216",特殊算定,110,52,47,54,58,71,392,868672,現行×1.10,955539
1～10,2217,基本料金帯,275,275,271,281,289,266,1657,3673569,2440,4043080
11,2220,特殊算定,,,1,,,,1,2220,現行×1.10,2442
,2222,特殊算定,,1,1,1,,,3,6666,現行×1.10,7333
,2226,特殊算定,,,,,,1,1,2226,現行×1.10,2449
,2229,特殊算定,,,,,,1,1,2229,現行×1.10,2452
,2231,特殊算定,1,,,,,,1,2231,現行×1.10,2454
,2236,特殊算定,1,,,,,,1,2236,現行×1.10,2460
,2246,特殊算定,,,,,1,,1,2246,現行×1.10,2471
11,2258,通常算定,34,38,28,35,43,35,213,480954,2485,529305
,2281,特殊算定,,,,,,1,1,2281,現行×1.10,2509
12,2299,通常算定,30,32,38,33,40,26,199,457501,2531,503669
,2303,特殊算定,,,,1,,,1,2303,現行×1.10,2533
,2311,特殊算定,,,,,,1,1,2311,現行×1.10,2542
13,2339,通常算定,34,37,31,23,32,25,182,425698,2576,468832
,2352,特殊算定,1,,,,,,1,2352,現行×1.10,2587
,2368,特殊算定,,,1,,,,1,2368,現行×1.10,2605
14,2380,通常算定,34,30,26,35,31,36,192,456960,2622,503424
15,2421,通常算定,27,26,22,28,33,33,169,409149,2667,450723
16,2461,通常算定,26,22,28,39,35,26,176,433136,2713,477488
,2466,特殊算定,,,1,,,,1,2466,現行×1.10,2713
17,2502,通常算定,28,34,31,26,40,22,181,452862,2758,499198
,2506,特殊算定,,,,1,,,1,2506,現行×1.10,2757
18,2543,通常算定,30,18,21,38,37,38,182,462826,2804,510328
,2547,特殊算定,,1,1,,,,2,5094,現行×1.10,5603
19,2583,通常算定,30,40,34,28,28,25,185,477855,2849,527065
20,2624,通常算定,27,37,33,29,28,37,191,501184,2895,552945
,2636,特殊算定,,,,,1,,1,2636,現行×1.10,2900
,2664,特殊算定,,,,1,,,1,2664,現行×1.10,2930
,2665,特殊算定,,,,,,1,1,2665,現行×1.10,2932
,2706,特殊算定,1,,,,,,1,2706,現行×1.10,2977
21,2816,通常算定,32,27,29,32,25,26,171,481536,3106,531126
,2855,特殊算定,,,1,,,,1,2855,現行×1.10,3141
,2868,特殊算定,1,,,,,,1,2868,現行×1.10,3155
