#,出典：【R7】使用料集計ブック（件数）シート右表。2か月分の水量ベース
事業,2か月水量区分,件数,件数割合(%),金額(円),金額割合(%)
漁業集落排水,1～10,285,19.94,631845,8.57
漁業集落排水,11～20,296,20.71,718881,9.75
漁業集落排水,21～30,311,21.76,1143450,15.51
漁業集落排水,31～40,196,13.72,1079316,14.64
漁業集落排水,41～50,147,10.29,1115755,15.13
漁業集落排水,51～60,103,7.21,959913,13.02
漁業集落排水,61～70,31,2.17,347587,4.71
漁業集落排水,71～80,9,0.63,118553,1.61
漁業集落排水,81～90,22,1.54,332200,4.51
漁業集落排水,90～100,7,0.49,120577,1.64
漁業集落排水,101～200,15,1.05,348020,4.72
漁業集落排水,201～,7,0.49,457752,6.21
漁業集落排水,計,1429,100.00,7373849,100.00
公共下水道,1～10,2049,26.82,4542241,12.75
公共下水道,11～20,1892,24.76,4610531,12.95
公共下水道,21～30,1517,19.85,5536360,15.55
公共下水道,31～40,899,11.77,4962055,13.93
公共下水道,41～50,558,7.30,4125179,11.58
公共下水道,51～60,391,5.12,3637076,10.21
公共下水道,61～70,138,1.81,1539983,4.32
公共下水道,71～80,60,0.79,785193,2.20
公共下水道,81～90,35,0.46,523263,1.47
公共下水道,91～100,27,0.35,291230,0.82
公共下水道,101～150,30,0.39,933016,2.62
公共下水道,151～300,26,0.34,1230720,3.46
公共下水道,301～600,12,0.16,1874240,5.26
公共下水道,601～,7,0.09,1022196,2.87
公共下水道,計,7641,100.00,35613283,
