#,令和7年度 年間全件（12か月）ベース。集計ブックの水量欄と算定式を照合し、毎月検針・隔月検針を判別している
#,"通常算定は水量欄から水量が確定する。基本水量内（2か月2,217円）は1〜10㎥のいずれでも同額のため下限・上限で示す"
#,日割（基本水量未満）は基本使用料据置のため改定後も不変。異動等のみ平均改定率で連動させる
#,年間水量は有収水量そのものではなく、調定記録から積み上げた参考値
項目,漁業集落排水,公共下水道,合計
調定件数(件),"1,436","7,784","9,220"
調定額(円・税込),"7,408,318","37,159,192","44,567,510"
確定水量 通常算定(㎥),"41,078","187,431","228,509"
基本水量内 下限(㎥),277,"1,657","1,934"
基本水量内 上限(㎥),"2,770","16,570","19,340"
年間水量 下限(㎥),"41,355","189,088","230,443"
年間水量 上限(㎥),"43,848","204,001","247,849"
日割 件数,11,491,502
日割 金額(円),"13,189","443,587","456,776"
異動等 件数,3,93,96
異動等 金額(円),"23,219","1,978,410","2,001,629"
