#,一般汚水。1か月あたりの月額と、隔月検針による2か月分請求額
月使用量(㎥),現行 月額(円),案1 月額(円),差(円),現行 2か月請求(円),案1 2か月請求(円),差(円),増減率(%)
5,1108.8,1220.0,+111.2,2217,2440,223,10.03
8,1230.9,1356.5,+125.6,2461,2713,252,10.20
10,1312.3,1447.5,+135.2,2624,2895,271,10.30
12,1695.1,1870.5,+175.4,3390,3741,351,10.35
15,2269.3,2505.0,+235.7,4538,5010,472,10.39
20,3226.3,3562.5,+336.2,6452,7125,673,10.42
25,4183.3,4620.0,+436.7,8366,9240,874,10.44
30,5140.3,5677.5,+537.2,10280,11355,1075,10.45
40,7054.3,7792.5,+738.2,14108,15585,1477,10.46
50,8968.3,9907.5,+939.2,17936,19815,1879,10.47
60,11168.3,12327.5,+1159.2,22336,24655,2319,10.38
80,15568.3,17167.5,+1599.2,31136,34335,3199,10.27
100,19968.3,22007.5,+2039.2,39936,44015,4079,10.21
