#,出典：階上町下水道事業経営戦略（改定）令和7年2月
区分,項目,公共下水道,漁業集落排水,出典
現状(R4),収益的収支比率(%),88.3,84.5,表2.15/2.16
現状(R4),経費回収率(%),35.0,25.8,表2.15/2.16
現状(R4),汚水処理原価(円/㎥),496.84,662.35,表2.15/2.16
現状(R4),水洗化率(%),63.9,69.3,表2.15/2.16
現状(R4),類似団体平均 経費回収率(%),48.9,36.0,表2.15/2.16
目標(R16),収益的収支比率(%),100,100,表5.19
目標(R16),経費回収率(%),40,26,表5.19
目標(R16),水洗化率(%),75,80,表5.19
改善方策,採用ケース,ケース①,ケース②,5.6
改善方策,ケース①の内容,5年毎に10%ずつ使用料を上昇,同左,5.6
改善方策,ケース②の内容,—,ケース①＋R16水洗化率80%,5.6
改善方策,"改定後 経費回収率(R16,%)",47.7,26.4,表5.17/5.18
単価前提,使用料単価 採用値(円/㎥),173.9,171.1,表3.5（R1〜R4実績平均）

# 使用料収入の推移（千円）／表5.13・5.22（公共）、表5.14・5.25（漁集）
系列,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
公共 現況継続,35257,38724,40421,40468,40484,40484,40453,40421,40358,40280,40185
公共 採用(ケース①),35257,38724,44463,44515,44532,44532,44498,48505,48430,48336,48222
漁集 現況継続,7697,7014,6843,6672,6501,6330,5987,5816,5645,5474,5303
漁集 採用(ケース②),7697,7197,7810,7686,7544,7420,7278,7765,7610,7436,7281

# 年間有収水量の推計（㎥/年）／表3.4
系列,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
公共下水道,213135,222618,232372,232642,232733,232733,232553,232372,232011,231559,231017
漁業集落排水,42167,41035,39903,38771,37639,36601,35469,34337,33206,32074,31036
