#,令和6年度決算統計 32表・40表。資本費は全額が「分流式下水道等に要する経費」として基準内繰入金で措置され、汚水処理費は維持管理費（汚水分）のみとなる
項目,公共下水道,漁業集落排水,出典・算式
維持管理費 合計,67794,21932,32表(43)
うち汚水処理費,67464,19614,32表(44)
うち非汚水分,330,2318,32表(47)水洗便所等普及費／(48)不明水処理費
減価償却費,122209,35740,32表(58)
支払利息,26042,1798,32表(51)
長期前受金戻入分,60445,28584,32表(2-5)
分流式下水道等に要する経費,87801,8949,32表(2-12)
資本費のその他,5,5,32表(2-13)
40表 基準内繰入金（収益的）基準額,88136,11272,40表(12)
40表 繰入金（収益的）実繰入額,220527,16202,40表(13)
下水道使用料,33652,7229,32表(2-24)
年間有収水量(㎥),209289,45402,10表(52)
［検証］減価償却費−長期前受金戻入＋支払利息,87806,8954,資本費
［検証］分流式＋その他,87806,8954,上と一致すれば資本費全額が基準内繰入金で措置されている
［検証］非汚水分＋分流式＋その他,88136,11272,40表 基準内繰入金 基準額と一致する
経費回収率(%),49.9,36.9,使用料 ÷ 汚水処理費
汚水処理原価(円/㎥),322.3,432.0,汚水処理費 ÷ 有収水量
使用料単価(円/㎥),160.8,159.2,使用料 ÷ 有収水量
