#,一般汚水。1か月あたりの使用料（税込）と、その使用量における単価（円/㎥）
#,現在は月10㎥の層の単価が最も低く（131.2円/㎥）、月5㎥の層（221.8円/㎥）を下回っている
月使用量(㎥),現行(円),案A+10%(円),案B+10%(円),現行との差 案A,現行との差 案B,増減率 案A(%),増減率 案B(%),現行 単価(円/㎥),案A+10% 単価,案B+10% 単価
5,1108.8,1220,1145,+111.2,+36.2,+10.03,+3.26,221.8,244.0,229.0
8,1230.9,1356.5,1475,+125.6,+244.1,+10.20,+19.83,153.9,169.6,184.4
10,1312.3,1447.5,1695,+135.2,+382.7,+10.30,+29.16,131.2,144.8,169.5
12,1695.1,1870.5,2055,+175.4,+359.9,+10.35,+21.23,141.3,155.9,171.2
15,2269.3,2505.0,2595,+235.7,+325.7,+10.39,+14.35,151.3,167.0,173.0
20,3226.3,3562.5,3495,+336.2,+268.7,+10.42,+8.33,161.3,178.1,174.8
25,4183.3,4620.0,4395,+436.7,+211.7,+10.44,+5.06,167.3,184.8,175.8
30,5140.3,5677.5,5295,+537.2,+154.7,+10.45,+3.01,171.3,189.2,176.5
40,7054.3,7792.5,7345,+738.2,+290.7,+10.46,+4.12,176.4,194.8,183.6
50,8968.3,9907.5,9395,+939.2,+426.7,+10.47,+4.76,179.4,198.2,187.9
60,11168.3,12327.5,11795,+1159.2,+626.7,+10.38,+5.61,186.1,205.5,196.6
80,15568.3,17167.5,16595,+1599.2,+1026.7,+10.27,+6.59,194.6,214.6,207.4
100,19968.3,22007.5,21395,+2039.2,+1426.7,+10.21,+7.14,199.7,220.1,213.9
