#,一般汚水。1か月あたりの使用料（税込）。調定は隔月のため実際の請求額はこの2倍
#,案Aは全区分を一律に引き上げるため、どの使用量帯もほぼ同じ率で上がる。案Bは基本使用料を据え置くため月5㎥以下は据置となり、その分を6〜50㎥が負担する
月使用量(㎥),世帯像の目安,現行(円),案A+5% 月額,案A+5% 増減額,案A+5% 増減率(%),案A+10% 月額,案A+10% 増減額,案A+10% 増減率(%),案A+15% 月額,案A+15% 増減額,案A+15% 増減率(%),案B+5% 月額,案B+5% 増減額,案B+5% 増減率(%),案B+10% 月額,案B+10% 増減額,案B+10% 増減率(%),案B+15% 月額,案B+15% 増減額,案B+15% 増減率(%)
3,単身（節水）,1108.8,1164.2,+55.4,+5.00,1219.7,+110.9,+10.00,1275.1,+166.3,+15.00,1108.8,+0.0,+0.00,1108.8,+0.0,+0.00,1108.8,+0.0,+0.00
5,単身・高齢世帯,1108.8,1164.2,+55.4,+5.00,1219.7,+110.9,+10.00,1275.1,+166.3,+15.00,1108.8,+0.0,+0.00,1108.8,+0.0,+0.00,1108.8,+0.0,+0.00
8,2人世帯,1230.9,1292.3,+61.4,+4.99,1354.1,+123.2,+10.01,1415.5,+184.6,+15.00,1288.8,+57.9,+4.70,1348.8,+117.9,+9.58,1378.8,+147.9,+12.02
10,2人世帯,1312.3,1377.7,+65.4,+4.98,1443.7,+131.4,+10.01,1509.1,+196.8,+15.00,1408.8,+96.5,+7.35,1508.8,+196.5,+14.97,1558.8,+246.5,+18.78
13,3人世帯,1886.5,1980.7,+94.2,+4.99,2075.2,+188.7,+10.00,2169.4,+282.9,+15.00,2010.9,+124.4,+6.59,2137.3,+250.8,+13.29,2234.1,+347.6,+18.43
15,3〜4人世帯,2269.3,2382.7,+113.4,+5.00,2496.2,+226.9,+10.00,2609.6,+340.3,+15.00,2412.3,+143.0,+6.30,2556.3,+287.0,+12.65,2684.3,+415.0,+18.29
20,4人世帯,3226.3,3387.7,+161.4,+5.00,3548.7,+322.4,+9.99,3710.1,+483.8,+15.00,3415.8,+189.5,+5.87,3603.8,+377.5,+11.70,3809.8,+583.5,+18.09
25,5人世帯,4183.3,4392.7,+209.4,+5.01,4601.2,+417.9,+9.99,4810.6,+627.3,+15.00,4419.3,+236.0,+5.64,4651.3,+468.0,+11.19,4935.3,+752.0,+17.98
30,5人以上世帯,5140.3,5397.7,+257.4,+5.01,5653.7,+513.4,+9.99,5911.1,+770.8,+15.00,5422.8,+282.5,+5.50,5698.8,+558.5,+10.87,6060.8,+920.5,+17.91
40,小規模事業所,7054.3,7407.7,+353.4,+5.01,7758.7,+704.4,+9.99,8112.1,+1057.8,+15.00,7429.8,+375.5,+5.32,7793.8,+739.5,+10.48,8311.8,+1257.5,+17.83
50,小規模事業所,8968.3,9417.7,+449.4,+5.01,9863.7,+895.4,+9.98,10313.1,+1344.8,+15.00,9436.8,+468.5,+5.22,9888.8,+920.5,+10.26,10562.8,+1594.5,+17.78
100,大口事業所,19968.3,20967.7,+999.4,+5.00,21963.7,+1995.4,+9.99,22963.1,+2994.8,+15.00,20986.8,+1018.5,+5.10,21988.8,+2020.5,+10.12,23212.8,+3244.5,+16.25
200,大口事業所,41968.3,44067.7,+2099.4,+5.00,46163.7,+4195.4,+10.00,48263.1,+6294.8,+15.00,44086.8,+2118.5,+5.05,46188.8,+4220.5,+10.06,48512.8,+6544.5,+15.59
