#,月使用量帯ごとの件数・調定額の構成と、A案・B案での負担増加率（帯の代表値で算定）
#,令和7年度 年間全件（12か月）ベース。毎月検針者は月あたりの水量で区分している
#,水量帯と世帯人数・年齢の対応関係は調定データから確認できないため、世帯像は付していない
#,"月5㎥以下は2事業計1,934件（21.0%）、月6〜10㎥は2,167件（23.5%）で、両者で44.5%を占める"
事業,月使用量帯,件数,件数割合(%),調定額(円),金額割合(%),代表値(㎥),A案の増減率(%),B案の増減率(%)
公共下水道,月5㎥以下,"1,657",21.3,"3,673,569",9.9,5,+0.00,+0.00
公共下水道,月6〜10㎥,"1,870",24.0,"4,558,125",12.3,8,+4.84,+9.67
公共下水道,月11〜20㎥,"2,384",30.6,"10,371,240",27.9,15,+11.39,+12.85
公共下水道,月21〜30㎥,938,12.1,"7,655,598",20.6,25,+13.81,+11.44
公共下水道,月31〜50㎥,255,3.3,"3,128,827",8.4,40,+14.97,+10.76
公共下水道,月51㎥〜,96,1.2,"5,349,836",14.4,100,+12.39,+10.25
公共下水道,日割・異動等,584,7.5,"2,421,997",6.5,—,—,—
漁業集落排水,月5㎥以下,277,19.3,"614,109",8.3,5,+0.00,+0.00
漁業集落排水,月6〜10㎥,297,20.7,"721,424",9.7,8,+4.84,+9.67
漁業集落排水,月11〜20㎥,505,35.2,"2,214,093",29.9,15,+11.39,+12.85
漁業集落排水,月21〜30㎥,250,17.4,"2,058,319",27.8,25,+13.81,+11.44
漁業集落排水,月31〜50㎥,69,4.8,"918,917",12.4,40,+14.97,+10.76
漁業集落排水,月51㎥〜,24,1.7,"845,048",11.4,100,+12.39,+10.25
漁業集落排水,日割・異動等,14,1.0,"36,408",0.5,—,—,—
