#,6〜10㎥を現行の11〜50㎥単価（税抜174円）まで引き上げた場合の増収余地
#,"令和7年度 年間全件（12か月・9,220件・44,567,510円）ベース"
#,「従量課金対象水量」は基本水量（1か月5㎥）を超える水量であり、全汚水量ではない
#,各行は集計ブックの水量欄と算定式を照合し、毎月検針・隔月検針を判別して集計している
#,"漁集は集計ブックが日割11件を基本使用料2,217円に切り上げていたため、明細実額13,189円で補正した"
項目,2事業計,公共下水道,漁業集落排水,備考
従量課金対象水量 6〜10㎥帯(㎥),"56,525","46,524","10,001",基本水量超過分
従量課金対象水量 11〜50㎥帯(㎥),"84,964","67,278","17,686",
従量課金対象水量 51㎥〜帯(㎥),"20,495","18,529","1,966",
従量課金対象水量 計(㎥),"161,984","132,331","29,653",
,,,,
6〜10㎥帯の収入(円),"2,300,568","1,893,527","407,041",税込
11〜50㎥帯の収入(円),"16,262,110","12,877,009","3,385,100",税込
51㎥〜帯の収入(円),"4,508,900","4,076,380","432,520",税込
従量収入 計(円),"23,071,577","18,846,916","4,224,661",
基本使用料(円),"19,041,422","15,893,539","3,147,883",税込
日割・異動等(円),"2,458,405","2,421,997","36,408","公共は平均903円、漁集は明細実額13,189円で評価"
,,,,
6〜10㎥ 従量収入に対する比(%),10.0,10.0,9.6,★水量比と同じ分母
6〜10㎥ 従量課金対象水量に対する比(%),34.9,35.2,33.7,★
6〜10㎥ 調定額に対する比(%),5.2,,,分母が異なるため水量比と対比しないこと
,,,,
現行調定額(円),"44,567,510","37,159,192","7,408,318",税込

【増収余地】,2事業計,,,備考
6〜10㎥を税抜174円に揃えた場合の調定額(円),"53,583,231",,,他の区分は現行のまま
増収余地（日割・異動等への波及を含む）(円),"9,015,721",,,現行比 +20.2%
うち従量部分のみ(円),"8,518,401",,,日割・異動等への波及を除く
静的計算による検算(円),"8,518,318",,,"56,525㎥ × (174−37)円 × 1.1"
