#,隔月徴収では2か月分の税抜使用料を算定したうえで消費税等を加算し、1円未満を切り捨てて請求する（条例第17条・第18条第3項）
#,したがって請求額は月額の税込表示を単純に2倍した額とは一致しない
#,水量帯と世帯人数・年齢の対応関係は調定データから確認できないため、世帯像は付していない
月使用量(㎥),現行 月額(税抜・円),現行 月額(税込・円),現行 2か月請求額(円),A案 2か月(円),A案 増減率(%),B案 2か月(円),B案 増減率(%),第2段階 2か月(円),第2段階 増減率(%)
5,1008,1108.8,2217,2217,+0.0,2217,+0.0,2217,+0.0
6,1045,1149.5,2299,2338,+1.7,2378,+3.4,2457,+6.9
8,1119,1230.9,2461,2580,+4.8,2699,+9.7,2937,+19.3
10,1193,1312.3,2624,2822,+7.5,3020,+15.1,3416,+30.2
15,2063,2269.3,4538,5055,+11.4,5121,+12.8,5693,+25.5
20,2933,3226.3,6452,7288,+13.0,7222,+11.9,7970,+23.5
25,3803,4183.3,8366,9521,+13.8,9323,+11.4,10247,+22.5
30,4673,5140.3,10280,11754,+14.3,11424,+11.1,12524,+21.8
40,6413,7054.3,14108,16220,+15.0,15626,+10.8,17078,+21.1
50,8153,8968.3,17936,20686,+15.3,19828,+10.5,21632,+20.6
100,18153,19968.3,39936,44886,+12.4,44028,+10.2,48032,+20.3
