#,経常収支比率・経費回収率は損益（税抜）ベースの指標のため、ブリッジは全て税抜で組んでいる
#,"R8当初予算41,906千円は3条予算＝税込。税抜換算38,096千円（公共31,233＋漁集6,864）"
#,経営戦略の使用料収入は税込単価（R1〜R4＝法非適用＝税込）で積算されているため税抜相当に読み替える
#,"算式：52,273 − 4,752 − 4,305 − 272 − 3,047 + 690 − 2,490 ＝ 38,096"
段階,増減(千円),残高(千円),性質,算式・出所
経営戦略 採用シミュレーション R8（記載値）,,"52,273",税込単価で積算,"表5.21 公共44,463 ＋ 表5.25 漁集7,810"
− 単価の税区分による過大（÷1.1）,"-4,752","47,521",経営戦略側の不整合,"52,273−52,273÷1.1"
− 使用料改定10%の未実施,"-4,305","43,215",政策判断の未執行,"(47,521−42,944)−272"
− 漁集 水洗化率80%分の上乗せ,-272,"42,944",政策判断の未執行,"299÷1.1。42,944＝現況継続R8の税抜相当"
"− 有収水量を実勢へ（272,275→252,955㎥）","-3,047","39,896",経営戦略側の見込み違い,"(252,955−272,275)×157.72円"
− 単価を実勢へ（157.72→160.45円/㎥）,690,"40,586",経営戦略側の見込み違い,"(160.45−157.72)×252,955㎥。40,586＝R7決算（損益・税抜）"
− 予算の保守的計上,"-2,490","38,096",予算編成時点の情報制約,"40,586−38,096。R8予算はR7決算比 -6.1%"
,,,,
【税込／税抜の対応（千円）】,税込,税抜,,
R8当初予算 下水道使用料,"41,906","38,096",,3条予算
うち公共下水道,"34,356","31,233",,
うち漁業集落排水,"7,550","6,864",,
R7当初予算,"43,174","39,249",,"予定損益計算書39,250千円と一致"
R7決算,"44,645","40,586",,損益計算書
R7年間全件調定,"44,579","40,526",,R7決算と0.15%一致
経営戦略 現況継続R8,"47,238","42,944",,表3.6
経営戦略 採用ケースR8,"52,273","47,521",,表5.21＋5.25
