#,経営戦略の使用料収入＝有収水量×実績使用料単価。単価は公共173.9円/㎥・漁集171.1円/㎥（表3.5）
#,173.9＝(172.1+174.4+175.1+174.1)÷4＝R1〜R4年度の実績単価平均（表2.10）
#,地方公営企業法の適用は令和6年度から（R7決算書 注記）。R1〜R5は法非適用（官庁会計）で使用料を税込計上
#,法適用後の営業収益は税抜方式で計上（R7決算書 注記 Ⅰ-3）
#,採用単価は実績の税込単価と1.6〜2.5%しか違わないが、実績の税抜単価とは7.2〜8.3%乖離する
事業・年度,使用料(税抜・千円),有収水量(㎥),実績単価 税抜(円/㎥),実績単価 税込(円/㎥),経営戦略の採用単価(円/㎥),税込との差,税抜との差,出所
公共 R6,"33,652","209,289",160.8,176.9,173.9,-1.7%,+8.2%,決算統計32表(24)／R7決算書 業務量から逆算
公共 R7,"33,794","210,398",160.6,176.7,173.9,-1.6%,+8.3%,R7決算書 セグメント情報／業務量
漁集 R6,"7,229","45,402",159.2,175.1,171.1,-2.3%,+7.5%,決算統計32表(24)／R7決算書 業務量から逆算
漁集 R7,"6,792","42,557",159.6,175.6,171.1,-2.5%,+7.2%,R7決算書 セグメント情報／業務量
,,,,,,,,
【R6の予測額がほぼ一致して見えた理由（公共）】,,,,,,,,
水量の過大予測による減,-669,,,,,,,"(209,289−213,135)×173.9円"
単価の過小採用による増,622,,,,,,,"(176.9−173.9)×209,289㎥"
合計,-47,,,,,,,"実績税込37,017 − 予測37,065 = -48千円"
注,二つの誤差がほぼ同額で逆向きに働き、積である予測額だけが一致した。R7では相殺が崩れ公共で比0.960,,,,,,,
,,,,,,,,
【有収水量 実績 vs 経営戦略予測】,,,,,,,,
公共 R6,,"209,289",,,,,+1.8%,"予測213,135㎥"
公共 R7,,"210,398",,,,,+5.8%,"予測222,618㎥"
漁集 R6,,"45,402",,,,,-7.1%,"予測42,167㎥"
漁集 R7,,"42,557",,,,,-3.6%,"予測41,035㎥"
合計 R7,,"252,955",,,,,+4.2%,"予測263,653㎥"
