#,"説明資料の公表値は主検針月6回分の調定に基づき、かつ「〜2,216」行を1件あたり2,216円（上限額）で評価している"
#,"令和7年度3月分の調定明細で実額を確認：公共の2,217円未満は71件・64,144円（平均903円）"
#,"検証：3月分公共＝通常5,887,375円＋特殊64,144円＝5,951,519円。調定明細の実績合計と1円まで一致"
#,"いずれの補正も改定率（+9.93%）および条例用税抜単価（1,008/73/190/220円）には影響しない"
集計範囲,件数,調定額(税込・円),税抜換算(円),平年度増収額 中心案(税込・円),同(税抜・円),備考
"説明資料の公表値（主検針6か月・特殊を2,216円/件で評価）","9,070","42,987,132","39,079,211","4,269,216","3,881,105",公表値
補正（主検針6か月・特殊を実額評価）,"9,070","42,472,607","38,611,461","4,217,530","3,834,118","特殊392件≈354,147円"
年間全件（12か月・特殊を実額評価）,"9,220","44,567,510","40,515,919","4,427,950","4,025,409",★推奨ベース（漁集の日割補正後）
,,,,,,
【内訳（年間全件）】,,,,,,
公共下水道 通常算定,"7,293","36,715,605",,,,R7公共シート 4月〜3月
"公共下水道 特殊算定（2,217円未満）",491,"443,587",,,,"3月は実測64,144円、他月は平均903円で評価"
漁業集落排水,"1,436","7,419,516",,,,R7漁集シート 4月〜3月
合計,"9,220","44,567,510","40,515,919",,,
,,,,,,
【R8予算との対比（税抜）】,,,,,,
R6決算,,,"40,881,000",,,決算統計32表(24)
R7調定実績（年間全件）,,,"40,515,919",,,前年比 -0.9%
R8予算（提供値）,,,"41,906,000",,,R6比 +2.5% / R7比 +3.4%
中心案適用後（R8予算×1.0993）,,,"46,067,000",,,"増収 約+4,161千円"

【漁業集落排水の日割補正（v12）】,,,,,,
集計ブックの計上,"11件 × 2,217円 = 24,387円",,,,,日割行がなく基本料金帯に切り上げ計上されていた
調定明細の実額,"11件 = 13,189円（平均1,199円）",,,,,37ccc0e0 R7調定簿明細表（5月〜3月）
補正額,"▲11,198円",,,,,"漁集 調定額 7,419,516円 → 7,408,318円"
