#,令和7年度 階上町下水道事業会計決算書（案）（令和8年7月10日）による確定値と当方推計の突合
#,公共下水道事業・漁業集落排水事業は1会計2セグメントで経理されている
#,消費税及び地方消費税の会計処理は税抜方式（注記 Ⅰ-3）。地方公営企業法の適用は令和6年度から
#,"セグメント別使用料の導出：漁集使用料＝漁集セグメント営業収益6,792,472円、公共使用料＝40,586,357−6,792,472＝33,793,885円"
#,"検算：公共セグメント営業収益34,359,685 − 33,793,885 ＝ 565,800 ＝ その他営業収益（手数料）全額"
項目,R7決算(確定),当方の調定ベース推計,差,差率,出所
下水道使用料（税抜）,"40,586,357","40,526,099","60,258",-0.15%,損益計算書・収益費用明細書
うち公共下水道,"33,793,885","33,781,993","11,892",-0.04%,セグメント情報から導出
うち漁業集落排水,"6,792,472","6,745,015","47,457",-0.70%,セグメント情報 営業収益
,,,,,
【決算書のその他の確定値】,,,,,
R6 下水道使用料（税抜）,"40,881,245",,,,事業報告書 事業収入に関する事項
R7 有収水量 公共,"210,398",,,"R6比 +1,109㎥",事業報告書 業務量
R7 有収水量 漁集,"42,557",,,"R6比 -2,845㎥",事業報告書 業務量
R7 経費回収率,49.5%,,,R6比 +2.5ﾎﾟｲﾝﾄ,事業報告書 経営指標
R6 経費回収率,47.0%,46.9%,,当方の32表ベース算定と一致,"40,881,245÷87,078千円"
R7 普及指導費,"90,000",,,"R6は330,000円",事業報告書 事業費に関する事項
R7 営業収益（税抜）,"41,152,157",,,"使用料+手数料565,800",損益計算書
R7 営業収益 当初予算（税込）,"43,836,000",,,"補正後43,704,000",決算報告書
R7 営業収益 決算額（税込）,"45,206,637",,,"仮受消費税4,054,480",決算報告書
,,,,,
【R8予算との関係】,,,,,
R6決算,"40,881,245",,,,税抜
R7決算,"40,586,357",,,前年比 -0.7%,税抜
R8予算（提供値）,"41,906,000",,,R7決算比 +3.3%,R7決算書には現れない。R8当初予算書で要確認
中心案適用後,"46,067,000",,,"増収 約+4,161千円","41,906×1.0993"
