#,令和8年度 階上町下水道事業会計予算・予算に関する説明書 による確定値
#,予算明細書は会計全体・公共下水道・漁業集落排水の3本立て。いずれも「1 下水道使用料／説明：施設使用料」
#,予算の基準は税込。同書所収のR7予定損益計算書（税抜）との突合で確認できる
#,R8当初予算は令和8年3月議会の議決事項で、R7決算（案）が固まる令和8年7月より前に編成される
区分,R8当初予算(税込),R8税抜換算,R7当初予算(税込),R7当初予算 税抜,R7決算(税抜),R8予算のR7決算比
公共下水道事業,"34,356","31,233","35,469","32,245","33,794",-7.6%
漁業集落排水事業,"7,550","6,864","7,705","7,005","6,792",+1.0%
合計 下水道使用料,"41,906","38,096","43,174","39,249","40,586",-6.1%
その他営業収益,119,,662,,566,
営業収益 計,"42,025",,"43,836","39,780","41,152",
,,,,,,
【増収試算の基礎の比較（税込）】,,,,,,
基礎,金額,改定後(+9.93%),増収(税込),増収(税抜),,
R8当初予算,"41,906","46,067","4,161","3,783",,保守的な下限
R7年間全件調定,"44,579","49,005","4,427","4,024",,★推奨
R7決算（税込換算）,"44,645","49,078","4,433","4,030",,年間全件調定と0.15%一致
,,,,,,
【改定後と経営戦略の差】,,,,,,
中心案適用後（R7年間全件調定ベース）,"49,005",,,,,税込
経営戦略 採用ケース R8,"52,273",,,,,税込
差,"-3,268",,,,,主に有収水量前提の差
,,,,,,
【経費回収率（32表定義・静態試算）】,,,,,,
R7実績,49.5%,,,,,決算書 経営指標
汚水処理費（R7・49.5%から逆算）,"81,993",,,,,千円
"中心案適用後（税抜44,617千円）",54.4%,,,,,+4.9ポイント
