#,令和6年度 地方公営企業決算状況調査表作成要領（総務省自治財政局公営企業課）による確認
#,32表26．「（02行）列24「（再掲）下水道使用料」は、20表列3（法非適用企業にあっては26表列3）と同額を記入する」
#,→ 決算統計上の下水道使用料は、法適用企業では税抜（20表）、法非適用企業では税込（26表）
#,階上町は令和6年度から法適用（決算書 注記）。R1〜R5は税込、R6以降は税抜という断絶がある
#,経営戦略の採用単価173.9円/㎥はR1〜R4（法非適用＝税込）の実績平均であり、税込ベースである
調査表,税区分,作成要領の記述
20表 損益計算書,税抜,この調査表は基本的には免税事業者を除き，税抜き処理後の金額にて記入すること
21表 費用構成表,税抜,本表は基本的には免税事業者を除き，税抜き処理後の金額にて記入すること（給与・退職に関する調は税込）
23表 資本的収支に関する調,税込,この調査表は税込み金額にて記入すること
26表 歳入歳出決算に関する調（法非適用）,税込,本表は税込み金額にて記入すること
32表 経営分析に関する調（一）,税抜,１．本表は、税抜き処理後の金額にて記入すること
33表 経営分析に関する調（二）,税込,本表は税込み金額で記入すること
,,
【本町の各数値の税区分】,,
3条予算（収益的収入）・予算明細書,税込,"R7当初予算43,174千円÷1.1＝39,249千円＝予定損益計算書39,250千円"
決算報告書,税込,"決算額欄に「うち仮受消費税及び地方消費税4,054,480円」"
損益計算書,税抜,決算書 注記Ⅰ-3「消費税及び地方消費税の会計処理は税抜方式によっている」
決算統計32表(24) 下水道使用料,税抜（R6〜）,作成要領26．＋法適用はR6から
調定額（条例による賦課）,税込,条例第17条（税抜額に消費税を加算し1円未満切捨て）
経常収支比率・経費回収率,税抜,20表・32表から算定
,,
【経営指標への反映（R7決算基礎・静態試算・税抜）】,R7実績,改定後
経費回収率,49.5%,54.4%（+4.9ﾎﾟｲﾝﾄ）
経常収支比率,87.5%,89.0%（+1.5ﾎﾟｲﾝﾄ）
（参考）使用料を税込のまま算定した場合の経費回収率,54.5%,5.0ﾎﾟｲﾝﾄ過大となる
,,
【参考：経営戦略 表2.8 も税区分が混在】,,
①実績使用料単価,八戸市（法適用）のみ税抜189円、他の法非適用団体は税込,32表(24)由来
③条例上の料金,全団体 税込,33表由来
注,八戸市だけ①が約9%低く表示され、②−③の比較は同じ土俵になっていない,
