#,階上町公共下水道条例（平成18年3月20日条例第8号）との整合を機械的に確認した結果
#,漁業集落排水処理施設設置及び管理条例の別表も同額であり、同じ検証が当てはまる
条項,規定の内容,本資料の実装,検証方法,結果
別表（第17条関係）,"一般汚水 基本使用料 5㎥まで1,008円","基本水量5㎥・1,008円",—,一致
別表（第17条関係）,超過使用料 5㎥を超え10㎥まで 37円,6〜10㎥に37円（整数水量では同一）,—,一致
別表（第17条関係）,超過使用料 10㎥を超え50㎥まで 174円,11〜50㎥に174円,—,一致
別表（第17条関係）,超過使用料 50㎥を超える分 200円,51㎥〜に200円,—,一致
別表（第17条関係）,"公衆浴場汚水 5㎥まで1,008円＋5㎥を超える分57円",試算対象外,公衆浴場汚水でしか生じない請求額786通りをR7全データと照合,該当2件はいずれも毎月検針の一般汚水（88㎥・145㎥）と判明。適用者は確認できず
第17条ただし書,税抜額に消費税を加算し1円未満切捨て,floor(税抜額×1.1),基本水量内の2か月請求額を実データで確認,"2,217円が存在し2,216円は0件。切捨ては2か月分を一括で1回"
第18条第3項,2か月ごとの認定は各月均等に排除したものとみなす,月額式を水量の1/2に適用して2倍,0〜399㎥について「境界2倍方式」との差を全数検証,全点で恒等（差0）
第18条第4項,排除汚水量が基本水量未満のときは日割り,「日割・異動等」として区分し、現行額に平均改定率を乗じる,"集計ブック「〜2,216」行＝491件（公共）と対応",対応を確認
第16条第2項,毎月又は2か月ごとに徴収,毎月検針・隔月検針の両方を判別,水量欄と算定式の照合／集計ブックの赤字指定と突合,公共51行と赤字53行、漁集5行と赤字5行でほぼ一致
第19条,排除汚水量の認定（水道使用水量等）,集計ブックの水量欄を使用,—,—
第23条,"検査手数料 1件3,000円",試算対象外（その他営業収益）,R8予算 検査手数料 公共36千円・漁集3千円,—
