#,"基本水量を現行5㎥より下げる場合、基本水量内1,934レコード（2か月2,217円）の実水量は"
#,1〜10㎥（月あたり0〜5㎥）のいずれでも同額のため、集計ブックからは特定できない
#,したがって想定水量を置くほかなく、0㎥（下限）〜5㎥（上限）で幅を示す

料金表,想定水量,平年度増収額(税込),平均増収率,経費回収率
基本504円 + 1〜10㎥ 98円 / 11〜50㎥ 191円 / 51㎥〜 220円,0.0㎥,3407356,+7.65%,53.3%
基本504円 + 1〜10㎥ 98円 / 11〜50㎥ 191円 / 51㎥〜 220円,2.5㎥,4498801,+10.09%,54.5%
基本504円 + 1〜10㎥ 98円 / 11〜50㎥ 191円 / 51㎥〜 220円,5.0㎥,5590247,+12.54%,55.7%
基本672円 + 1〜10㎥ 75円 / 11〜50㎥ 191円 / 51㎥〜 220円,0.0㎥,3550495,+7.97%,53.4%
基本672円 + 1〜10㎥ 75円 / 11〜50㎥ 191円 / 51㎥〜 220円,2.5㎥,4384772,+9.84%,54.4%
基本672円 + 1〜10㎥ 75円 / 11〜50㎥ 191円 / 51㎥〜 220円,5.0㎥,5221075,+11.71%,55.3%
基本1008円 + 1〜10㎥ 31円 / 11〜50㎥ 191円 / 51㎥〜 220円,0.0㎥,4119807,+9.24%,54.1%
基本1008円 + 1〜10㎥ 31円 / 11〜50㎥ 191円 / 51㎥〜 220円,2.5㎥,4466073,+10.02%,54.5%
基本1008円 + 1〜10㎥ 31円 / 11〜50㎥ 191円 / 51㎥〜 220円,5.0㎥,4810313,+10.79%,54.8%

#,"基本使用料を据え置くほど幅は狭くなる（基本1,008円では +9.24〜+10.79%）。"
#,基本使用料を下げるほど従量単価への依存が増し、想定水量の影響を強く受ける。
