資料,章,設問番号,設問文,令和7年8月版の対応項目,必須/オプション/村独自,第9期(令和4年8月版)との異同,判定,対応要否・メモ
資料B'（ニーズ調査）,フェイス（基本属性）,（ア）,お住まいの地区はどちらですか,,,第9期に対応設問あり：お住まいは一戸建て、または集合住宅のどちらですか,,
資料B'（ニーズ調査）,フェイス（基本属性）,（イ）,あなたの性別をお教えください,,,第9期報告書「３ 年齢・性別」に対応（基本属性）,,
資料B'（ニーズ調査）,フェイス（基本属性）,（ウ）,あなたの年齢をお教えください ※令和８年８月１日現在の年齢をご記入ください。,,,第9期報告書「３ 年齢・性別」に対応（基本属性）,,
資料B'（ニーズ調査）,問１ あなたのご家族や生活状況について,（１）,家族構成をお教えください,,,第9期に対応設問あり：家族構成をお教えください,,
資料B'（ニーズ調査）,問１ あなたのご家族や生活状況について,（２）,あなたは、普段の生活でどなたかの介護・介助が必要ですか,,,第9期に対応設問あり：あなたは、普段の生活でどなたかの介護・介助が必要ですか,,
資料B'（ニーズ調査）,問１ あなたのご家族や生活状況について,（３）,現在の暮らしの状況を経済的にみてどう感じていますか,,,第9期に対応設問あり：現在の暮らしの状況を経済的にみてどう感じていますか,,
資料B'（ニーズ調査）,問１ あなたのご家族や生活状況について,（４）,お住まいは一戸建て、または集合住宅のどちらですか,,,第9期に対応設問あり：お住まいは一戸建て、または集合住宅のどちらですか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（１）,階段を手すりや壁をつたわらずに昇っていますか,,,第9期に対応設問あり：階段を手すりや壁をつたわらずに昇っていますか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（２）,椅子に座った状態から何もつかまらずに立ち上がっていますか,,,第9期に対応設問あり：椅子に座った状態から何もつかまらずに立ち上がっていますか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（３）,15分位続けて歩いていますか,,,第9期に対応設問あり：１５分位続けて歩いていますか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（４）,過去1年間に転んだ経験がありますか,,,第9期に対応設問あり：過去１年間に転んだ経験がありますか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（５）,転倒に対する不安は大きいですか,,,第9期に対応設問あり：転倒に対する不安は大きいですか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（６）,週に1回以上は外出していますか,,,第9期に対応設問あり：週に１回以上は外出していますか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（７）,昨年と比べて外出の回数が減っていますか,,,第9期に対応設問あり：昨年と比べて外出の回数が減っていますか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（８）,外出を控えていますか,,,第9期に対応設問あり：外出を控えていますか,,
資料B'（ニーズ調査）,問２ からだを動かすことについて,（９）,外出する際の移動手段は何ですか（いくつでも）,,,第9期に対応設問あり：外出する際の移動手段は何ですか（あてはまるものすべてに☑）,,
資料B'（ニーズ調査）,問３ 食べることについて,（１）,身長・体重を教えてください,,,第9期 問3(1) 身長・体重 に対応,,
資料B'（ニーズ調査）,問３ 食べることについて,（２）,半年前に比べて固いものが食べにくくなりましたか,,,第9期に対応設問あり：半年前に比べて固いものが食べにくくなりましたか,,
資料B'（ニーズ調査）,問３ 食べることについて,（３）,お茶や汁物等でむせることがありますか,,,第9期に対応設問あり：お茶や汁物等でむせることがありますか,,
資料B'（ニーズ調査）,問３ 食べることについて,（４）,口の渇きが気になりますか,,,第9期に対応設問あり：口の渇きが気になりますか,,
資料B'（ニーズ調査）,問３ 食べることについて,（５）,歯磨き（人にやってもらう場合も含む）を毎日していますか,,,第9期に対応設問あり：歯磨き（人にやってもらう場合も含む）を毎日していますか,,
資料B'（ニーズ調査）,問３ 食べることについて,（６）,歯の数と入れ歯の利用状況をお教えください （成人の歯の総本数は、親知らずを含めて32本です）,,,第9期に対応設問あり：歯の数と入れ歯の利用状況をお教えください,,
資料B'（ニーズ調査）,問３ 食べることについて,①,噛み合わせは良いですか,,,第9期 問3(8)① 噛み合わせは良いですか に対応,,
