code,chart,大項目,系列,単位,period,value
P3,介護費用額の推移,費用額,費用額,（円）,平成29年度,298511497.0
P3,介護費用額の推移,費用額,費用額,（円）,平成30年度,308099579.0
P3,介護費用額の推移,費用額,費用額,（円）,令和元年度,289315838.0
P3,介護費用額の推移,費用額,費用額,（円）,令和2年度,283141213.0
P3,介護費用額の推移,費用額,費用額,（円）,令和3年度,269884050.0
P3,介護費用額の推移,費用額,費用額,（円）,令和4年度,273936308.0
P3,介護費用額の推移,費用額,費用額,（円）,令和5年度,286718906.0
P3,介護費用額の推移,費用額,費用額,（円）,令和6年度(R7/2月サービス提供分まで),286750021.0
P3,介護費用額の推移,費用額,費用額,（円）,令和7年度(R8/2月サービス提供分まで),306567466.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,平成29年度,103507325.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,平成30年度,94712259.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,令和元年度,81468528.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,令和2年度,84955963.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,令和3年度,87302497.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,令和4年度,74403228.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,令和5年度,75511026.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,令和6年度(R7/2月サービス提供分まで),84514601.0
P3,介護費用額の推移,費用額,費用額（在宅サービス）,（円）,令和7年度(R8/2月サービス提供分まで),95382626.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,平成29年度,61366672.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,平成30年度,63081800.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,令和元年度,69888630.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,令和2年度,74006000.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,令和3年度,64586240.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,令和4年度,69530570.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,令和5年度,76362450.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,令和6年度(R7/2月サービス提供分まで),81443590.0
P3,介護費用額の推移,費用額,費用額（居住系サービス）,（円）,令和7年度(R8/2月サービス提供分まで),90952440.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,平成29年度,133637500.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,平成30年度,150305520.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,令和元年度,137958680.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,令和2年度,124179250.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,令和3年度,117995313.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,令和4年度,130002510.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,令和5年度,134845430.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,令和6年度(R7/2月サービス提供分まで),120791830.0
P3,介護費用額の推移,費用額,費用額（施設サービス）,（円）,令和7年度(R8/2月サービス提供分まで),120232400.0
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,平成29年度,25038.9
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,平成30年度,25606.0
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,令和元年度,23623.8
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,令和2年度,22071.8
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,令和3年度,21041.2
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,令和4年度,21562.8
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,令和5年度,23008.5
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,令和6年度(R7/2月サービス提供分まで),22750.8
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額,第1号被保険者1人1月あたり費用額,（円）,令和7年度(R8/2月サービス提供分まで),24695.9
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,平成29年度,24055.7
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,平成30年度,24449.2
