code,metric,時点,範囲,順位,母数
P3,北塩原村の第1号被保険者1人1月あたりの費用額の降順,令和 8年 2月末時点,福島県内,44番目,59保険者
P3,北塩原村の第1号被保険者1人1月あたりの費用額の降順,令和 8年 2月末時点,全国,"1,153番目","1,574保険者"
P4,北塩原村の必要保険料額の降順,令和 8年 2月末時点,福島県内,26番目,59保険者
P4,北塩原村の必要保険料額の降順,令和 8年 2月末時点,全国,511番目,"1,572保険者"
P1,北塩原村の高齢化率の降順,2020年10月時点,福島県内,24番目,58保険者
P1,北塩原村の高齢化率の降順,2020年10月時点,全国,593番目,"1,570保険者"
P1,北塩原村の高齢化率の降順,2025年の推計値,福島県内,22番目,46保険者
P1,北塩原村の高齢化率の降順,2025年の推計値,全国,538番目,"1,558保険者"
P1,北塩原村の高齢化率の降順,2040年の推計値,福島県内,22番目,46保険者
P1,北塩原村の高齢化率の降順,2040年の推計値,全国,533番目,"1,558保険者"
P2,北塩原村の認定率の降順,令和 8年 4月末時点,福島県内,18番目,59保険者
P2,北塩原村の認定率の降順,令和 8年 4月末時点,全国,442番目,"1,574保険者"
