folder,code,file,kind,out_date,n_indicators,indicators,regions,year_min,year_max,excluded_series,n_records
世帯　北塩原,A5,A5_一般世帯数_時系列 (2).xlsx,時系列,2026/08/25,1,一般世帯数,北塩原村／福島県,2000,2020,1,42
世帯　北塩原,A6-a,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,時系列,2026/08/25,3,総世帯数／高齢者を含む世帯の割合／高齢者を含む世帯数,全国／北塩原村／福島県,2000,2020,1,105
世帯　北塩原,A6,A6_高齢者を含む世帯数_時系列 (2).xlsx,時系列,2026/08/25,1,高齢者を含む世帯数,北塩原村／福島県,2000,2020,1,42
世帯　北塩原,A7-a,A7-a_高齢独居世帯の割合_時系列 (2).xlsx,時系列,2026/08/25,3,総世帯数／高齢独居世帯の割合／高齢独居世帯数,全国／北塩原村／福島県,2000,2020,1,105
世帯　北塩原,A7,A7_高齢独居世帯数_時系列 (2).xlsx,時系列,2026/08/25,1,高齢独居世帯数,北塩原村／福島県,2000,2020,1,42
世帯　北塩原,A8-a,A8-a_高齢夫婦世帯の割合_時系列 (2).xlsx,時系列,2026/08/25,3,総世帯数／高齢夫婦世帯の割合／高齢夫婦世帯数,全国／北塩原村／福島県,2000,2020,1,105
世帯　北塩原,A8,A8_高齢夫婦世帯数_時系列 (2).xlsx,時系列,2026/08/25,1,高齢夫婦世帯数,北塩原村／福島県,2000,2020,1,42
人口　北塩原,A1,A1_総人口_時系列 (3).xlsx,時系列,2026/08/25,1,総人口,北塩原村／福島県,2000,2050,1,102
人口　北塩原,A2,A2_高齢化率_時系列 (3).xlsx,時系列,2026/08/25,3,総人口／高齢化率／高齢者数,全国／北塩原村／福島県,2000,2050,1,255
人口　北塩原,A3-a,A3-a_前期・後期別高齢者数割合_時系列 (3).xlsx,時系列,2026/08/25,2,前期高齢者割合／後期高齢者割合,全国／北塩原村／福島県,2000,2050,1,204
人口　北塩原,A3,A3_前期・後期別高齢者数_時系列 (3).xlsx,時系列,2026/08/25,3,前期高齢者数／後期高齢者数／高齢者数,北塩原村／福島県,2000,2050,1,204
人口　北塩原,A4,A4_高齢者の年齢構成（５歳階級別）_時系列 (3).xlsx,時系列,2026/08/25,13,65歳以上70歳未満／70歳以上75歳未満／75歳以上80歳未満／80歳以上85歳未満／85歳以上90歳未満／90歳以上／高齢者数（65~69歳）／高齢者数（70~74歳）／高齢者数（75~79歳）／高齢者数（80~84歳）／高齢者数（85~89歳）／高齢者数（90歳以上）／高齢者数（合計）,北塩原村,2000,2050,0,663
人口　北塩原,A9,A9_高齢者１人あたり現役世代数（15～64歳人口／65歳以上人口）_時系列 (3).xlsx,時系列,2026/08/25,3,15～64歳人口／65歳以上人口／高齢者１人あたり現役世代数,全国／北塩原村／福島県,2000,2050,1,255
地域分析　北塩原,B1,B1_第１号被保険者数_時系列 (2).xlsx,時系列,2026/08/25,1,第１号被保険者数,北塩原村,2007,2026,1,21
地域分析　北塩原,B4-a,B4-a_認定率（要介護度別）_時系列 (4).xlsx,時系列,2026/08/25,19,合計認定率／合計認定者数／第１号被保険者数／認定率（経過的要介護）／認定率（要介護１）／認定率（要介護２）／認定率（要介護３）／認定率（要介護４）／認定率（要介護５）／認定率（要支援１）／認定率（要支援２）／認定者数（経過的要介護）／認定者数（要介護１）／認定者数（要介護２）／認定者数（要介護３）／認定者数（要介護４）／認定者数（要介護５）／認定者数（要支援１）／認定者数（要支援２）,北塩原村,2007,2026,1,399
地域分析　北塩原,D17-a,D17-a_受給者1人あたり給付月額（訪問介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（訪問介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-b,D17-b_受給者1人あたり給付月額（訪問入浴介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（訪問入浴介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-c,D17-c_受給者1人あたり給付月額（訪問看護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（訪問看護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-d,D17-d_受給者1人あたり給付月額（訪問リハビリテーション）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（訪問リハビリテーション）,北塩原村,2015,2025,1,11
地域分析　北塩原,D17-e,D17-e_受給者1人あたり給付月額（居宅療養管理指導）_時系列 (3).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（居宅療養管理指導）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-f,D17-f_受給者1人あたり給付月額（通所介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（通所介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-g,D17-g_受給者1人あたり給付月額（通所リハビリテーション）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（通所リハビリテーション）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-h,D17-h_受給者1人あたり給付月額（短期入所生活介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（短期入所生活介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-i,D17-i_受給者1人あたり給付月額（短期入所療養介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（短期入所療養介護）,北塩原村,2014,2025,1,11
地域分析　北塩原,D17-j,D17-j_受給者1人あたり給付月額（福祉用具貸与）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（福祉用具貸与）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-k,D17-k_受給者1人あたり給付月額（特定施設入居者生活介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（特定施設入居者生活介護）,北塩原村,2016,2025,1,10
地域分析　北塩原,D17-l,D17-l_受給者1人あたり給付月額（介護予防支援・居宅介護支援）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（介護予防支援・居宅介護支援）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-m,D17-m_受給者1人あたり給付月額（定期巡回・随時対応型訪問介護看護）_時系列 (2).xlsx,時系列,2026/08/25,0,,,,,1,0
地域分析　北塩原,D17-n,D17-n_受給者1人あたり給付月額（夜間対応型訪問介護）_時系列 (2).xlsx,時系列,2026/08/25,0,,,,,1,0
地域分析　北塩原,D17-o,D17-o_受給者1人あたり給付月額（認知症対応型通所介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（認知症対応型通所介護）,北塩原村,2014,2014,1,1
地域分析　北塩原,D17-p,D17-p_受給者1人あたり給付月額（小規模多機能型居宅介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（小規模多機能型居宅介護）,北塩原村,2014,2014,1,1
地域分析　北塩原,D17-q,D17-q_受給者1人あたり給付月額（認知症対応型共同生活介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（認知症対応型共同生活介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D17-r,D17-r_受給者1人あたり給付月額（地域密着型特定施設入居者生活介護）_時系列 (2).xlsx,時系列,2026/08/25,0,,,,,1,0
地域分析　北塩原,D17-s,D17-s_受給者1人あたり給付月額（看護小規模多機能型居宅介護）_時系列 (2).xlsx,時系列,2026/08/25,0,,,,,1,0
地域分析　北塩原,D17-t,D17-t_受給者1人あたり給付月額（地域密着型通所介護）_時系列 (2).xlsx,時系列,2026/08/25,1,受給者1人あたり給付月額（地域密着型通所介護）,北塩原村,2016,2024,1,9
地域分析　北塩原,D1,D1_施設・居住系・在宅受給者数_時系列 (3).xlsx,時系列,2026/08/25,4,合計受給者数／在宅受給者数／居住系受給者数／施設受給者数,北塩原村,2014,2026,1,572
地域分析　北塩原,D2,D2_受給率（施設サービス）（要介護度別）_時系列 (1).xlsx,時系列,2026/08/25,17,受給率（施設サービス）（要介護1）／受給率（施設サービス）（要介護2）／受給率（施設サービス）（要介護3）／受給率（施設サービス）（要介護4）／受給率（施設サービス）（要介護5）／受給率（施設サービス）（要支援1）／受給率（施設サービス）（要支援2）／受給者数（施設サービス）（要介護1）／受給者数（施設サービス）（要介護2）／受給者数（施設サービス）（要介護3）／受給者数（施設サービス）（要介護4）／受給者数（施設サービス）（要介護5）／受給者数（施設サービス）（要支援1）／受給者数（施設サービス）（要支援2）／合計受給率（施設サービス）／合計受給者数（施設サービス）／第1号被保険者数,北塩原村,2014,2025,1,204
地域分析　北塩原,D31-a,D31-a_受給者1人当たり利用日数・回数（訪問介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D31-b,D31-b_受給者1人当たり利用日数・回数（訪問入浴介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問入浴介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D31-c,D31-c_受給者1人当たり利用日数・回数（訪問看護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問看護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D31-d,D31-d_受給者1人当たり利用日数・回数（訪問リハビリテーション）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問リハビリテーション）,北塩原村,2015,2025,1,11
地域分析　北塩原,D31-e,D31-e_受給者1人当たり利用日数・回数（通所介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（通所介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D31-f,D31-f_受給者1人当たり利用日数・回数（通所リハビリテーション）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（通所リハビリテーション）,北塩原村,2014,2025,1,12
地域分析　北塩原,D31-g,D31-g_受給者1人当たり利用日数・回数（短期入所生活介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（短期入所生活介護）,北塩原村,2014,2025,1,12
地域分析　北塩原,D31-h,D31-h_受給者1人当たり利用日数・回数（短期入所療養介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（短期入所療養介護）,北塩原村,2014,2025,1,11
地域分析　北塩原,D31-i,D31-i_受給者1人当たり利用日数・回数（+認知症対応型通所介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（認知症対応型通所介護）,北塩原村,2014,2014,1,1
地域分析　北塩原,D31-j,D31-j_受給者1人当たり利用日数・回数（地域密着型通所介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（地域密着型通所介護）,北塩原村,2016,2024,1,9
地域分析　北塩原,D31-k,D31-k_受給者1人当たり利用日数・回数（訪問介護）※要介護者のみ_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人当たり利用日数・回数（訪問介護）※要介護者のみ,北塩原村,2016,2025,1,10
地域分析　北塩原,D31-l,D31-l_受給者1人当たり利用日数・回数（通所介護）※要介護者のみ_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人当たり利用日数・回数（通所介護）※要介護者のみ,北塩原村,2016,2025,1,10
地域分析　北塩原,D31-m,D31-m_受給者1人当たり利用日数・回数（通所リハビリテーション）※要介護者のみ_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人当たり利用日数・回数（通所リハビリテーション）※要介護者のみ,北塩原村,2016,2025,1,10
地域分析　北塩原,D31-n,D31-n_受給者1人当たり利用日数・回数（地域密着型通所介護）※要介護者のみ_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人当たり利用日数・回数（地域密着型通所介護）※要介護者のみ,全国／北塩原村／福島県,2016,2025,1,29
地域分析　北塩原,D3,D3_受給率（居住系サービス）（要介護度別）_時系列 (2).xlsx,時系列,2026/08/25,17,受給率（居住系サービス）（要介護1）／受給率（居住系サービス）（要介護2）／受給率（居住系サービス）（要介護3）／受給率（居住系サービス）（要介護4）／受給率（居住系サービス）（要介護5）／受給率（居住系サービス）（要支援1）／受給率（居住系サービス）（要支援2）／受給者数（居住系サービス）（要介護1）／受給者数（居住系サービス）（要介護2）／受給者数（居住系サービス）（要介護3）／受給者数（居住系サービス）（要介護4）／受給者数（居住系サービス）（要介護5）／受給者数（居住系サービス）（要支援1）／受給者数（居住系サービス）（要支援2）／合計受給率（居住系サービス）／合計受給者数（居住系サービス）／第1号被保険者数,北塩原村,2014,2025,1,204
地域分析　北塩原,D49,D49_地域差指数（調整済み第１号被保険者１人あたり給付月額、調整済み認定率、受給率、受給者１人あたり給付月額）_2023_地域別 (3).xlsx,地域別,2026/08/25,4,受給率／受給者１人あたり給付月額／第１号被保険者１人あたり給付月額（性・年齢調整後）／要介護認定率（性・年齢調整後）,全国／北塩原村／福島県,2023,2023,6,12
地域分析　北塩原,D4,D4_受給率（在宅サービス）（要介護度別）_時系列 (2).xlsx,時系列,2026/08/25,17,受給率（在宅サービス）（要介護1）／受給率（在宅サービス）（要介護2）／受給率（在宅サービス）（要介護3）／受給率（在宅サービス）（要介護4）／受給率（在宅サービス）（要介護5）／受給率（在宅サービス）（要支援1）／受給率（在宅サービス）（要支援2）／受給者数（在宅サービス）（要介護1）／受給者数（在宅サービス）（要介護2）／受給者数（在宅サービス）（要介護3）／受給者数（在宅サービス）（要介護4）／受給者数（在宅サービス）（要介護5）／受給者数（在宅サービス）（要支援1）／受給者数（在宅サービス）（要支援2）／合計受給率（在宅サービス）／合計受給者数（在宅サービス）／第1号被保険者数,北塩原村,2014,2025,1,204
地域分析　北塩原,D6-a,D6-a_第１号被保険者１人あたり給付月額（在宅サービス）_時系列 (2).xlsx,時系列,2026/08/25,1,第１号被保険者１人あたり給付月額（在宅サービス）,北塩原村,2006,2025,1,20
地域分析　北塩原,D6-b,D6-b_第１号被保険者１人あたり給付月額（施設および居住系サービス）_時系列 (2).xlsx,時系列,2026/08/25,1,第１号被保険者１人あたり給付月額（施設および居住系サービス）,北塩原村,2006,2025,1,20
地域分析　北塩原,D6,D6_第１号被保険者１人あたり給付月額（在宅サービス・施設および居住系サービス）_2025_地域別 (2).xlsx,地域別,2026/08/25,2,第１号被保険者１人あたり給付月額（在宅サービス）／第１号被保険者１人あたり給付月額（施設および居住系サービス）,北塩原村,2025,2025,4,2
地域分析　北塩原,δ1-a,δ1-a_地域の概況（需要）_時系列.xlsx,時系列,2026/08/25,12,2040年に向けた将来推計人口増加率／2040年に向けた将来推計人口増加率（偏差値）／65歳以上高齢者割合／65歳以上高齢者割合（偏差値）／介護サービス受給率／介護サービス受給率（偏差値）／第1号被保険者1人あたり保険給付月額／第1号被保険者1人あたり保険給付月額（偏差値）／調整済み認定率／調整済み認定率（偏差値）／高齢独居及び高齢夫婦のみ世帯率／高齢独居及び高齢夫婦のみ世帯率（偏差値）,北塩原村,2019,2025,0,36
地域分析　北塩原,δ1-b,δ1-b_サービス提供体制（供給）_時系列.xlsx,時系列,2026/08/25,10,人口10万人あたり居宅介護支援事業所数／人口10万人あたり居宅介護支援事業所数（偏差値）／人口10万人あたり居宅（医療系）サービス事業所数／人口10万人あたり居宅（医療系）サービス事業所数（偏差値）／人口10万人あたり居宅（福祉系）サービス事業所数／人口10万人あたり居宅（福祉系）サービス事業所数（偏差値）／介護サービス自給率／介護サービス自給率（偏差値）／要支援・要介護者1人あたり居住系サービス入所定員／要支援・要介護者1人あたり居住系サービス入所定員（偏差値）,北塩原村,2019,2025,0,30
地域分析　北塩原,δ1-c,δ1-c_医療介護連携_時系列.xlsx,時系列,2026/08/25,10,入院時情報連携加算、退院・退所加算算定率（居宅介護支援）／入院時情報連携加算、退院・退所加算算定率（居宅介護支援）（偏差値）／協力医療機関連携加算算定率（施設・居住系）／協力医療機関連携加算算定率（施設・居住系）（偏差値）／在宅死亡者数（自宅）／在宅死亡者数（自宅）（偏差値）／看取り介護加算、ターミナルケア加算算定率（施設・居住系）／看取り介護加算、ターミナルケア加算算定率（施設・居住系）（偏差値）／認知症（専門ケア）加算算定率（通所系、多機能系、施設・居住系）／認知症（専門ケア）加算算定率（通所系、多機能系、施設・居住系）（偏差値）,北塩原村,2025,2025,0,10
地域分析　北塩原,δ2-a,δ2-a_介護サービス自給率（訪問系）［時系列］_時系列.xlsx,時系列,2026/08/25,2,【注目する地域のみ】介護サービス自給率（訪問系）／【注目する地域のみ】給付月額（訪問系）,北塩原村,2019,2025,0,14
