folder,code,file,kind,out_date,n_indicators,indicators,regions,year_min,year_max,excluded_series,n_records
介護サービス受給者数利用回数　北塩原,D1,D1_施設・居住系・在宅受給者数_時系列 (3).xlsx,時系列,2026/08/25,4,合計受給者数／在宅受給者数／居住系受給者数／施設受給者数,北塩原村,2014,2026,1,572
介護サービス受給者数利用回数　北塩原,D2,D2_受給率（施設サービス）（要介護度別）_時系列 (1).xlsx,時系列,2026/08/25,17,受給率（施設サービス）（要介護1）／受給率（施設サービス）（要介護2）／受給率（施設サービス）（要介護3）／受給率（施設サービス）（要介護4）／受給率（施設サービス）（要介護5）／受給率（施設サービス）（要支援1）／受給率（施設サービス）（要支援2）／受給者数（施設サービス）（要介護1）／受給者数（施設サービス）（要介護2）／受給者数（施設サービス）（要介護3）／受給者数（施設サービス）（要介護4）／受給者数（施設サービス）（要介護5）／受給者数（施設サービス）（要支援1）／受給者数（施設サービス）（要支援2）／合計受給率（施設サービス）／合計受給者数（施設サービス）／第1号被保険者数,北塩原村,2014,2025,1,204
介護サービス受給者数利用回数　北塩原,D31-a,D31-a_受給者1人当たり利用日数・回数（訪問介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問介護）,北塩原村,2014,2025,1,12
介護サービス受給者数利用回数　北塩原,D31-b,D31-b_受給者1人当たり利用日数・回数（訪問入浴介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問入浴介護）,北塩原村,2014,2025,1,12
介護サービス受給者数利用回数　北塩原,D31-c,D31-c_受給者1人当たり利用日数・回数（訪問看護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問看護）,北塩原村,2014,2025,1,12
介護サービス受給者数利用回数　北塩原,D31-d,D31-d_受給者1人当たり利用日数・回数（訪問リハビリテーション）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（訪問リハビリテーション）,北塩原村,2015,2025,1,11
介護サービス受給者数利用回数　北塩原,D31-e,D31-e_受給者1人当たり利用日数・回数（通所介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（通所介護）,北塩原村,2014,2025,1,12
介護サービス受給者数利用回数　北塩原,D31-f,D31-f_受給者1人当たり利用日数・回数（通所リハビリテーション）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（通所リハビリテーション）,北塩原村,2014,2025,1,12
介護サービス受給者数利用回数　北塩原,D31-g,D31-g_受給者1人当たり利用日数・回数（短期入所生活介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（短期入所生活介護）,北塩原村,2014,2025,1,12
介護サービス受給者数利用回数　北塩原,D31-h,D31-h_受給者1人当たり利用日数・回数（短期入所療養介護）_時系列 (1).xlsx,時系列,2026/08/25,1,受給者1人あたり利用日数・回数（短期入所療養介護）,北塩原村,2014,2025,1,11
