folder,code,file,kind,out_date,n_indicators,indicators,regions,year_min,year_max,excluded_series,n_records
特別会計経理状況,D47-a,D47-a_歳入（保険料）_時系列.xlsx,時系列,2026/08/31,1,保険料,北塩原村,2014,2023,1,10
特別会計経理状況,D47-b,D47-b_歳入（分担金及び負担金）_時系列.xlsx,時系列,2026/08/31,3,その他／合計／認定審査会負担金,北塩原村,2015,2024,1,30
特別会計経理状況,D47-c,D47-c_歳入（使用料及び手数料）_時系列.xlsx,時系列,2026/08/31,3,使用料／合計／手数料,北塩原村,2015,2024,1,30
特別会計経理状況,D47-d,D47-d_歳入（国庫支出金）_時系列.xlsx,時系列,2026/08/31,10,その他／介護給付費負担金／保険者努力支援交付金／保険者機能強化推進交付金／合計／地域支援事業交付金(介護予防・日常生活支援総合事業)／地域支援事業交付金(介護予防・日常生活支援総合事業以外の地域支援事業)／地域支援事業交付金（介護予防事業）／地域支援事業交付金（包括的支援事業・任意事業）／調整交付金,北塩原村,2015,2024,1,77
特別会計経理状況,D47-e,D47-e_歳入（支払基金交付金）_時系列.xlsx,時系列,2026/08/31,3,介護給付費交付金／合計／地域支援事業支援交付金,北塩原村,2015,2024,1,30
特別会計経理状況,D47-f,D47-f_歳入（都道府県支出金）_時系列.xlsx,時系列,2026/08/31,8,その他／合計／地域支援事業交付金(介護予防・日常生活支援総合事業)／地域支援事業交付金(介護予防・日常生活支援総合事業以外の地域支援事業)／地域支援事業交付金（介護予防事業）／地域支援事業交付金（包括的支援事業・任意事業）／財政安定化基金支出金／都道府県負担金,北塩原村,2015,2024,1,67
特別会計経理状況,D47-g,D47-g_歳入（相互財政安定化事業交付金）_時系列.xlsx,時系列,2026/08/31,1,相互財政安定化事業交付金,北塩原村,2014,2023,1,10
特別会計経理状況,D47-h,D47-h_歳入（財産収入）_時系列.xlsx,時系列,2026/08/31,1,財産収入,北塩原村,2014,2023,1,10
特別会計経理状況,D47-i,D47-i_歳入（寄附金）_時系列.xlsx,時系列,2026/08/31,1,寄附金,北塩原村,2014,2023,1,10
特別会計経理状況,D47-j,D47-j_歳入（繰入金）_時系列.xlsx,時系列,2026/08/31,11,その他／一般会計繰入金／介護サービス事業勘定繰入金／介護給付費準備基金繰入金／低所得者保険料軽減繰入金／合計／地域支援事業繰入金(介護予防・日常生活支援総合事業)／地域支援事業繰入金(介護予防・日常生活支援総合事業以外の地域支援事業)／地域支援事業繰入金（介護予防事業）／地域支援事業繰入金（包括的支援事業・任意事業）／総務費に係る一般会計繰入金,北塩原村,2015,2024,1,97
特別会計経理状況,D47-k,D47-k_歳入（繰越金）_時系列.xlsx,時系列,2026/08/31,1,繰越金,北塩原村,2014,2023,1,10
特別会計経理状況,D47-l,D47-l_歳入（市町村債）_時系列.xlsx,時系列,2026/08/31,3,その他／合計／財政安定化基金貸付金,北塩原村,2015,2024,1,30
特別会計経理状況,D47-m,D47-m_歳入（諸収入）_時系列.xlsx,時系列,2026/08/31,1,繰越金,北塩原村,2014,2023,1,10
特別会計経理状況,D47,D47_歳入_時系列.xlsx,時系列,2026/08/31,14,使用料及び手数料／保険料／分担金及び負担金／合計／国庫支出金／寄附金／市町村債／支払基金交付金／相互財政安定化事業交付金／繰入金／繰越金／諸収入／財産収入／都道府県支出金,北塩原村,2015,2024,1,140
特別会計経理状況,D48-a,D48-a_歳出（総務費）_時系列.xlsx,時系列,2026/08/31,1,総務費,北塩原村,2014,2023,1,10
特別会計経理状況,D48-b,D48-b_歳出（保険給付費）_時系列.xlsx,時系列,2026/08/31,9,その他／介護サービス等諸費／介護予防サービス等諸費／合計／審査支払手数料／市町村特別給付費／特定入所者介護サービス等費／高額介護サービス等費／高額医療合算介護サービス等費,北塩原村,2015,2024,1,90
特別会計経理状況,D48-c,D48-c_歳出（地域支援事業）_時系列.xlsx,時系列,2026/08/31,7,その他／一般介護予防事業費／介護予防・生活支援サービス事業費／介護予防事業費／包括的支援事業･任意事業／合計／重層的支援体制整備事業保険料繰出金,北塩原村,2015,2024,1,56
特別会計経理状況,D48-d,D48-d_歳出（財政安定化基金拠出金）_時系列.xlsx,時系列,2026/08/31,1,財政安定化基金拠出金,北塩原村,2014,2023,1,10
特別会計経理状況,D48-e,D48-e_歳出（相互財政安定化事業負担金）_時系列.xlsx,時系列,2026/08/31,1,相互財政安定化事業負担金,北塩原村,2014,2023,1,10
特別会計経理状況,D48-f,D48-f_歳出（保健福祉事業費）_時系列.xlsx,時系列,2026/08/31,1,保健福祉事業費,北塩原村,2014,2023,1,10
特別会計経理状況,D48-g,D48-g_歳出（基金積立金）_時系列.xlsx,時系列,2026/08/31,1,基金積立金,北塩原村,2014,2023,1,10
特別会計経理状況,D48-h,D48-h_歳出（公債費）_時系列.xlsx,時系列,2026/08/31,3,その他／合計／財政安定化基金償還金,北塩原村,2015,2024,1,30
特別会計経理状況,D48-i,D48-i_歳出（予備費）_時系列.xlsx,時系列,2026/08/31,1,予備費,北塩原村,2014,2023,1,10
特別会計経理状況,D48-j,D48-j_歳出（諸支出金）_時系列.xlsx,時系列,2026/08/31,4,その他／介護サービス事業勘定繰出金／他会計繰出金／合計,北塩原村,2015,2024,1,40
特別会計経理状況,D48,D48_歳出_時系列.xlsx,時系列,2026/08/31,11,予備費／保健福祉事業費／保険給付費／公債費／合計／地域支援事業／基金積立金／相互財政安定化事業負担金／総務費／諸支出金／財政安定化基金拠出金,北塩原村,2015,2024,1,110
