folder,file,code,kind,indicator,unit,region,period,year,period_type,value
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2000,2000,暦年,1094.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2001,2001,暦年,1096.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2002,2002,暦年,1098.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2003,2003,暦年,1099.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2004,2004,暦年,1101.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2005,2005,暦年,1103.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2006,2006,暦年,1092.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2007,2007,暦年,1081.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2008,2008,暦年,1071.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2009,2009,暦年,1060.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2010,2010,暦年,1049.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2011,2011,暦年,1040.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2012,2012,暦年,1031.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2013,2013,暦年,1022.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2014,2014,暦年,1013.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2015,2015,暦年,1004.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2016,2016,暦年,1003.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2017,2017,暦年,1002.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2018,2018,暦年,1001.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2019,2019,暦年,1000.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,北塩原村,2020,2020,暦年,999.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2000,2000,暦年,686225.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2001,2001,暦年,690422.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2002,2002,暦年,694620.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2003,2003,暦年,698817.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2004,2004,暦年,703026.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2005,2005,暦年,707223.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2006,2006,暦年,709665.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2007,2007,暦年,712108.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2008,2008,暦年,714556.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2009,2009,暦年,716999.0
