区分,目標名,配点,本村,県平均,県中央値,県内順位,県内市町村数,全国平均,全国順位,全国市町村数,県平均との差,全国平均との差
推進Ⅰ,持続可能な地域のあるべき姿をかたちにする,100.0,76,63.3,67,7,59,62.3,320,1741,12.7,13.7
推進Ⅱ,公正・公平な給付を行う体制を構築する,100.0,62,70.8,76,42,59,69.2,1136,1741,-8.8,-7.2
推進Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,100.0,46,49.7,47,31,59,50.8,1039,1741,-3.7,-4.8
推進Ⅳ,高齢者が可能な限り自立した日常生活を営む（成果指標群）,100.0,45,46.4,45,30,59,47.8,898,1741,-1.4,-2.8
推進合計,,400.0,229,230.2,229,30,59,230.1,948,1741,-1.2,-1.1
支援Ⅰ,介護予防／日常生活支援を推進する,100.0,71,60.6,60,17,59,57.8,359,1741,10.4,13.2
支援Ⅱ,認知症総合支援を推進する,100.0,32,54.5,55,57,59,51.1,1477,1741,-22.5,-19.1
支援Ⅲ,在宅医療・在宅介護連携の体制を構築する,100.0,70,64.7,64,24,59,68.3,961,1741,5.3,1.7
支援Ⅳ,高齢者が可能な限り自立した日常生活を営む（成果指標群）,100.0,45,46.4,45,30,59,47.8,898,1741,-1.4,-2.8
支援合計,,400.0,218,226.2,227,35,59,225.0,1072,1741,-8.2,-7.0
総合計,,800.0,447,456.4,462,34,59,455.1,1005,1741,-9.4,-8.1
