年度,交付金,目標,目標名,指標群,指標,列番号,配点,北塩原村,全国平均,全国中央値,標準偏差,該当市町村数,該当率
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / ア,13,4.0,4.0,3.8690407811602525,,0.7118191893731668,1684.0,0.9672601952900631
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / イ,14,4.0,4.0,3.6346927053417577,,1.1522932608943115,1582.0,0.9086731763354394
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / ウ,15,4.0,0.0,3.591039632395175,,1.2118551432196119,1563.0,0.8977599080987938
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / エ,16,4.0,0.0,2.784606547960942,,1.8396718633758613,1212.0,0.6961516369902355
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / ア,17,4.0,0.0,3.7955198161975874,,0.8809702546861508,1652.0,0.9488799540493968
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / イ,18,4.0,0.0,3.4164273406088457,,1.411996313301049,1487.0,0.8541068351522114
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / ウ,19,4.0,0.0,2.6490522688110283,,1.8917534597170047,1153.0,0.6622630672027571
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / エ,20,4.0,0.0,2.495117748420448,,1.9377457044718396,1086.0,0.623779437105112
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ①,21,1.0,0.0,0.9121194715680643,,0.28312107154794997,1588.0,0.9121194715680643
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ②,22,1.0,0.0,0.9425617461229179,,0.23267810569246516,1641.0,0.9425617461229179
