段階,所得区分,人数
第１段階,～４０万円,30
第１段階,４０万円～５０万円,30
第１段階,５０万円～６０万円,18
第１段階,６０万円～７０万円,18
第１段階,７０万円～８２．６５万円,33
第２段階,８２．６５万円～９０万円,21
第２段階,９０万円～１００万円,27
第２段階,１００万円～１１０万円,26
第２段階,１１０万円～１２０万円,27
第３段階,１２０万円～１３０万円,31
第３段階,１３０万円～１４０万円,25
第３段階,１４０万円～１５０万円,15
第３段階,１５０万円～１６０万円,9
第３段階,１６０万円～,36
第４段階,～４０万円,10
第４段階,４０万円～５０万円,11
第４段階,５０万円～６０万円,15
第４段階,６０万円～７０万円,17
第４段階,７０万円～８２．６５万円,20
第５段階,８２．６５万円～９０万円,18
第５段階,９０万円～１００万円,27
第５段階,１００万円～１１０万円,29
第５段階,１１０万円～１２０万円,38
第５段階,１２０万円～１３０万円,28
第５段階,１３０万円～１４０万円,13
第５段階,１４０万円～１５０万円,19
第５段階,１５０万円～１６０万円,5
第５段階,１６０万円～１７０万円,4
第５段階,１７０万円～１８０万円,3
第５段階,１８０万円～１９０万円,1
第５段階,１９０万円～２００万円,2
第５段階,２００万円～,6
第６段階,～４０万円,5
第６段階,４０万円～５０万円,20
第６段階,５０万円～６０万円,17
第６段階,６０万円～７０万円,18
第６段階,７０万円～８０万円,22
第６段階,８０万円～９０万円,12
第６段階,９０万円～１００万円,19
第６段階,１００万円～１１０万円,23
第６段階,１１０万円～１２０万円,23
第７段階,１２０万円～１３０万円,17
第７段階,１３０万円～１４０万円,16
第７段階,１４０万円～１５０万円,17
第７段階,１５０万円～１６０万円,10
第７段階,１６０万円～１７０万円,9
第７段階,１７０万円～１８０万円,3
第７段階,１８０万円～１９０万円,7
第７段階,１９０万円～２００万円,12
第７段階,２００万円～２１０万円,12
第８段階,２１０万円～２２０万円,12
第８段階,２２０万円～２３０万円,13
第８段階,２３０万円～２４０万円,8
第８段階,２４０万円～２５０万円,4
第８段階,２５０万円～２６０万円,9
第８段階,２６０万円～２７０万円,9
第８段階,２７０万円～２８０万円,2
第８段階,２８０万円～２９０万円,3
第８段階,２９０万円～３００万円,6
第８段階,３００万円～３１０万円,5
第８段階,３１０万円～３２０万円,1
第９段階,３２０万円～３３０万円,5
第９段階,３３０万円～３４０万円,3
第９段階,３４０万円～３５０万円,4
第９段階,３５０万円～３６０万円,5
第９段階,３６０万円～３７０万円,0
第９段階,３７０万円～３８０万円,2
第９段階,３８０万円～３９０万円,5
第９段階,３９０万円～４００万円,3
第９段階,４００万円～４１０万円,1
第９段階,４１０万円～４２０万円,2
第１０段階,４２０万円～４３０万円,1
第１０段階,４３０万円～４４０万円,0
第１０段階,４４０万円～４５０万円,3
