区分,要介護度,利用率(3か年平均・%),令和5年度実績,令和6年度実績,令和7年度実績,令和9年度,令和10年度,令和11年度,令和12年度,令和17年度,令和22年度
在宅サービス,要支援1,55.9,20.1,24.3,26.8,29.1,29.1,29.6,29.6,28.5,25.7
在宅サービス,要支援2,74.0,21.2,22.9,21.5,21.5,22.2,22.2,22.2,21.5,19.2
在宅サービス,要介護1,58.9,28.8,32.5,28.8,30.0,30.6,31.2,31.2,30.0,27.1
在宅サービス,要介護2,70.4,17.4,19.0,19.8,19.0,19.7,19.7,19.7,19.0,17.6
在宅サービス,要介護3,32.4,4.5,6.8,8.1,7.5,7.8,7.8,7.8,7.5,6.8
在宅サービス,要介護4,23.9,4.8,4.8,5.1,4.5,4.8,4.8,4.8,4.5,4.3
在宅サービス,要介護5,8.7,1.2,1.6,1.1,1.0,1.0,1.0,1.0,1.0,1.0
居住系サービス,要支援1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
居住系サービス,要支援2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
居住系サービス,要介護1,20.8,9.5,11.0,11.2,10.6,10.8,11.0,11.0,10.6,9.6
居住系サービス,要介護2,17.3,6.9,2.8,4.2,4.7,4.8,4.8,4.8,4.7,4.3
居住系サービス,要介護3,27.4,4.2,5.9,6.2,6.3,6.6,6.6,6.6,6.3,5.7
居住系サービス,要介護4,17.8,3.0,3.7,4.3,3.4,3.6,3.6,3.6,3.4,3.2
居住系サービス,要介護5,7.9,0.9,1.6,1.0,0.9,0.9,0.9,0.9,0.9,0.9
施設サービス,要支援1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
施設サービス,要支援2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
施設サービス,要介護1,7.6,3.3,4.1,4.2,3.9,4.0,4.0,4.0,3.9,3.5
施設サービス,要介護2,11.6,3.2,2.8,3.3,3.1,3.3,3.3,3.3,3.1,2.9
施設サービス,要介護3,35.4,9.8,6.8,4.2,8.1,8.5,8.5,8.5,8.1,7.4
施設サービス,要介護4,51.9,14.2,10.4,7.4,9.9,10.4,10.4,10.4,9.9,9.3
施設サービス,要介護5,53.4,6.0,7.1,11.3,6.4,6.4,6.4,6.4,6.4,5.9
在宅サービス,計,,98.0,111.9,111.2,112.6,115.2,116.3,116.3,112.0,101.7
居住系サービス,計,,24.5,25.0,26.9,25.9,26.7,26.9,26.9,25.9,23.7
施設サービス,計,,36.5,31.2,30.4,31.4,32.6,32.6,32.6,31.4,29.0
