区分,サービス種類,利用量の単位,1人あたり利用量(3か年平均),1人あたり給付月額(円・3か年平均),令和5年度実績(人/月),令和5年度実績(利用量/月),令和6年度実績(人/月),令和6年度実績(利用量/月),令和7年度実績(人/月),令和7年度実績(利用量/月),令和9年度(人/月),令和9年度(利用量/月),令和9年度(給付費・千円/年),令和10年度(人/月),令和10年度(利用量/月),令和10年度(給付費・千円/年),令和11年度(人/月),令和11年度(利用量/月),令和11年度(給付費・千円/年),令和12年度(人/月),令和12年度(利用量/月),令和12年度(給付費・千円/年),令和17年度(人/月),令和17年度(利用量/月),令和17年度(給付費・千円/年),令和22年度(人/月),令和22年度(利用量/月),令和22年度(給付費・千円/年)
居宅,訪問介護,回,8.0,33052,10.8,92,9.6,83,11.1,80,10.3,81,4104,10.6,83,4217,10.8,84,4265,10.8,84,4265,10.3,81,4104,9.4,74,3748
居宅,訪問入浴介護,回,3.7,42551,1.0,4,1.0,4,0.0,0,0.6,2,297,0.6,2,297,0.6,2,297,0.6,2,297,0.6,2,297,0.5,2,272
居宅,訪問看護,回,4.3,28172,8.2,32,8.5,39,9.1,41,8.4,37,2844,8.7,38,2937,8.7,38,2944,8.7,38,2944,8.4,37,2838,7.7,34,2612
居宅,訪問リハビリテーション,回,16.0,43400,2.0,6,2.0,18,1.0,24,1.0,14,524,1.0,15,546,1.0,15,546,1.0,15,546,1.0,14,524,0.9,13,489
居宅,居宅療養管理指導,－,－,7779,4.0,－,6.1,－,9.1,－,6.8,－,636,7.0,－,655,7.1,－,661,7.1,－,661,6.8,－,635,6.2,－,579
居宅,通所介護,日,9.7,74026,37.2,339,42.2,393,38.9,426,40.1,398,35657,41.4,410,36756,41.8,414,37088,41.8,414,37088,40.1,398,35657,36.7,363,32593
居宅,通所リハビリテーション,日,1.3,36778,10.0,12,12.2,19,12.1,19,11.9,17,5242,12.1,17,5349,12.2,17,5402,12.2,17,5402,11.8,17,5204,10.6,15,4696
居宅,短期入所生活介護,日,5.3,41641,7.0,22,9.1,47,10.1,77,8.0,47,4019,8.3,48,4146,8.4,49,4176,8.4,49,4176,8.0,47,4019,7.4,43,3674
居宅,短期入所療養介護,日,9.0,92064,1.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
居宅,福祉用具貸与,－,－,9575,78.3,－,87.3,－,93.0,－,90.3,－,10374,92.4,－,10616,93.2,－,10713,93.2,－,10713,89.8,－,10317,81.5,－,9367
地域密着型,定期巡回・随時対応型訪問介護看護,－,－,－,0.0,－,0.0,－,0.0,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－
地域密着型,夜間対応型訪問介護,－,－,－,0.0,－,0.0,－,0.0,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－
地域密着型,認知症対応型通所介護,日,－,－,0.0,0,0.0,0,0.0,0,0.0,0,－,0.0,0,－,0.0,0,－,0.0,0,－,0.0,0,－,0.0,0,－
地域密着型,小規模多機能型居宅介護,－,－,－,0.0,－,0.0,－,0.0,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－
地域密着型,看護小規模多機能型居宅介護,－,－,－,0.0,－,0.0,－,0.0,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－,0.0,－,－
地域密着型,地域密着型通所介護,回,2.5,19510,1.0,3,0.0,0,0.0,0,0.3,1,78,0.3,1,80,0.3,1,81,0.3,1,81,0.3,1,78,0.3,1,70
