第1号被保険者負担割合,基金取崩,給付費の水準,保険料収納必要額(円),保険料基準額(月額・円)
23%,取崩なし,推計どおり,231067110,6756
23%,取崩なし,令和5年度の伸び（+4.7%/年）が続く,240615460,7035
23%,取崩なし,供給制約により2%下振れ,227003982,6637
23%,"第9期と同額24,000千円",推計どおり,207067110,6054
23%,"第9期と同額24,000千円",令和5年度の伸び（+4.7%/年）が続く,216615460,6334
23%,"第9期と同額24,000千円",供給制約により2%下振れ,203003982,5936
24%,取崩なし,推計どおり,241113506,7050
24%,取崩なし,令和5年度の伸び（+4.7%/年）が続く,251077002,7341
24%,取崩なし,供給制約により2%下振れ,236873720,6926
24%,"第9期と同額24,000千円",推計どおり,217113506,6348
24%,"第9期と同額24,000千円",令和5年度の伸び（+4.7%/年）が続く,227077002,6639
24%,"第9期と同額24,000千円",供給制約により2%下振れ,212873720,6224
