区分,項目,値
単価指数,H26→R7の年率(%),1.56
単価指数,R元→R7の年率(%),1.3
単価指数,H27の前年比(%),2.11
単価指数,H28の前年比(%),0.59
単価指数,H29の前年比(%),3.63
単価指数,H30の前年比(%),10.18
単価指数,R元の前年比(%),-6.46
単価指数,R2の前年比(%),-0.1
単価指数,R3の前年比(%),8.24
単価指数,R4の前年比(%),-12.63
単価指数,R5の前年比(%),-4.18
単価指数,R6の前年比(%),0.83
単価指数,R7の前年比(%),18.39
3か年平均固定,給付費の過小率(3か年平均・%),5.32
3か年平均固定,保険料月額換算(円),314
受給者数の年率,訪問介護(%),3.31
受給者数の年率,訪問看護(%),19.89
受給者数の年率,訪問リハビリテーション(%),-13.12
受給者数の年率,居宅療養管理指導(%),54.88
受給者数の年率,通所介護(%),-2.86
受給者数の年率,通所リハビリテーション(%),3.51
受給者数の年率,短期入所生活介護(%),1.93
受給者数の年率,福祉用具貸与(%),13.67
受給者数の年率,認定者数(%),2.62
総額の予測誤差,平均(%),-2.1
総額の予測誤差,絶対値の平均(%),11.9
総額の予測誤差,保険料月額換算(円),704
