区分,サービス種類,第1号1人あたり給付月額(円・3か年平均),令和5年度実績(円/月),令和6年度実績(円/月),令和7年度実績(円/月),令和5年度実績(人/月・参考),令和6年度実績(人/月・参考),令和7年度実績(人/月・参考),令和9年度(給付費・千円/年),令和10年度(給付費・千円/年),令和11年度(給付費・千円/年),令和12年度(給付費・千円/年),令和17年度(給付費・千円/年),令和22年度(給付費・千円/年),令和9年度(人/月・参考),令和10年度(人/月・参考),令和11年度(人/月・参考),令和12年度(人/月・参考),令和17年度(人/月・参考),令和22年度(人/月・参考)
居住系,特定施設入居者生活介護,551,556,615,482,2.4,2.6,1.9,6638,6579,6526,6420,5891,5382,2.3,2.4,2.4,2.4,2.3,2.1
居住系,認知症対応型共同生活介護,5586,5118,5375,6266,22.1,22.4,25.0,67304,66701,66165,65092,59729,54567,23.6,24.3,24.5,24.5,23.6,21.6
居住系,地域密着型特定施設入居者生活介護,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
施設,介護老人福祉施設,4238,4921,4034,3759,17.8,14.1,12.8,51059,50602,50195,49381,45313,41397,14.3,14.9,14.9,14.9,14.3,13.2
施設,地域密着型介護老人福祉施設入所者生活介護,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
施設,介護老人保健施設,4693,4662,4560,4856,16.9,15.9,16.6,56537,56030,55580,54679,50174,45838,15.8,16.4,16.4,16.4,15.8,14.6
施設,介護医療院,370,490,331,288,1.8,1.2,1.0,4454,4414,4378,4307,3952,3611,1.2,1.3,1.3,1.3,1.2,1.2
施設,介護療養型医療施設,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
居宅,特定福祉用具販売,34,42,34,27,,,,414,410,407,400,367,335,,,,,,
居宅,住宅改修,32,28,30,39,,,,390,386,383,377,346,316,,,,,,
居宅,介護予防支援・居宅介護支援,1071,992,1117,1103,,,,12899,12784,12681,12475,11448,10458,,,,,,
