認定率の基準,案,年,前期高齢者,後期高齢者,第1号被保険者計,要支援１,要支援２,経過的要介護,要介護１,要介護２,要介護３,要介護４,要介護５,認定者計,認定率(%)
令和8年,A,令和7年,463,498,961,48,27,0,47,26,22,18,11,200,20.8
令和8年,A,令和8年,444,509,953,49,28,0,48,26,22,18,11,203,21.3
令和8年,A,令和9年,425,521,946,50,28,0,49,26,22,19,12,206,21.7
令和8年,A,令和10年,406,533,939,50,28,0,50,27,23,19,12,209,22.2
令和8年,A,令和11年,387,545,932,51,29,0,51,27,23,19,12,212,22.7
令和8年,A,令和12年,371,547,918,51,29,0,51,27,23,19,12,212,23.0
令和8年,A,令和17年,309,535,844,49,28,0,49,26,22,19,11,204,24.1
令和8年,A,令和22年,283,488,771,45,25,0,45,24,20,17,10,186,24.1
令和8年,B,令和7年,507,515,1021,50,29,0,49,27,23,19,12,208,20.4
令和8年,B,令和8年,486,526,1012,51,29,0,50,27,23,19,12,211,20.9
令和8年,B,令和9年,465,538,1004,52,29,0,51,27,23,19,12,214,21.3
令和8年,B,令和10年,444,551,995,52,30,0,52,28,24,20,12,217,21.8
令和8年,B,令和11年,424,563,987,53,30,0,53,28,24,20,12,220,22.3
令和8年,B,令和12年,406,565,971,53,30,0,53,28,24,20,12,220,22.6
令和8年,B,令和17年,338,553,891,51,29,0,51,27,23,19,12,212,23.8
令和8年,B,令和22年,310,504,814,46,26,0,46,25,21,18,11,193,23.7
3か年平均,A,令和7年,463,498,961,41,28,0,47,27,20,19,13,195,20.3
3か年平均,A,令和8年,444,509,953,41,28,0,48,27,20,19,14,198,20.8
3か年平均,A,令和9年,425,521,946,42,29,0,49,28,21,19,14,201,21.3
3か年平均,A,令和10年,406,533,939,43,29,0,50,28,21,20,14,204,21.8
3か年平均,A,令和11年,387,545,932,43,29,0,51,28,21,20,14,208,22.3
3か年平均,A,令和12年,371,547,918,43,29,0,51,28,21,20,14,208,22.6
3か年平均,A,令和17年,309,535,844,41,28,0,49,28,21,19,14,200,23.7
3か年平均,A,令和22年,283,488,771,38,26,0,45,25,19,18,13,183,23.7
3か年平均,B,令和7年,507,515,1021,43,29,0,49,28,21,19,14,203,19.9
3か年平均,B,令和8年,486,526,1012,43,29,0,50,28,21,20,14,206,20.3
3か年平均,B,令和9年,465,538,1004,44,30,0,51,29,22,20,14,209,20.8
3か年平均,B,令和10年,444,551,995,44,30,0,52,29,22,20,15,212,21.4
3か年平均,B,令和11年,424,563,987,45,31,0,53,30,22,21,15,216,21.9
3か年平均,B,令和12年,406,565,971,45,31,0,53,30,22,21,15,216,22.2
3か年平均,B,令和17年,338,553,891,43,29,0,51,29,21,20,14,208,23.3
3か年平均,B,令和22年,310,504,814,39,27,0,47,26,19,18,13,190,23.3
