区分,サービス種類,R7実績(人/月),R9(人/月),R10(人/月),R11(人/月),R7→R9(%),R9→R10(%),R10→R11(%),判定
居宅,訪問介護,11.1,10.3,10.6,10.8,-7.2,2.9,1.9,
居宅,訪問入浴介護,0.0,0.6,0.6,0.6,新規,0.0,0.0,★
居宅,訪問看護,9.1,8.4,8.7,8.7,-7.7,3.6,0.0,
居宅,訪問リハビリテーション,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
居宅,居宅療養管理指導,9.1,6.8,7.0,7.1,-25.3,2.9,1.4,★
居宅,通所介護,38.9,40.1,41.4,41.8,3.1,3.2,1.0,
居宅,通所リハビリテーション,12.1,11.9,12.1,12.2,-1.7,1.7,0.8,
居宅,短期入所生活介護,10.1,8.0,8.3,8.4,-20.8,3.8,1.2,★
居宅,短期入所療養介護,0.0,0.0,0.0,0.0,,,,
居宅,福祉用具貸与,93.0,90.3,92.4,93.2,-2.9,2.3,0.9,
地域密着型,定期巡回・随時対応型訪問介護看護,0.0,0.0,0.0,0.0,,,,
地域密着型,夜間対応型訪問介護,0.0,0.0,0.0,0.0,,,,
地域密着型,認知症対応型通所介護,0.0,0.0,0.0,0.0,,,,
地域密着型,小規模多機能型居宅介護,0.0,0.0,0.0,0.0,,,,
地域密着型,看護小規模多機能型居宅介護,0.0,0.0,0.0,0.0,,,,
地域密着型,地域密着型通所介護,0.0,0.3,0.3,0.3,新規,0.0,0.0,★
