資料編 付表2　n=16 の層で ちょうど .x5 となるセルの丸め
凡例[P89]『割合は小数第2位を四捨五入』に対し、偶数丸め（round-half-to-even）で処理されている。

付表         層              選択肢                                      件数/n     掲載      四捨五入    
× 付表2-1    年齢階級/75～79歳   主な介護者以外の家族・親族                            1/16      6.2%     6.3%
× 付表2-1    年齢階級/75～79歳   その他                                      1/16      6.2%     6.3%
○ 付表2-2    年齢階級/75～79歳   夫婦のみ世帯                                   7/16     43.8%    43.8%
○ 付表2-2    年齢階級/75～79歳   その他                                      7/16     43.8%    43.8%
× 付表2-6    年齢階級/75～79歳   要支援２                                     1/16      6.2%     6.3%
× 付表2-6    年齢階級/75～79歳   要介護１                                     1/16      6.2%     6.3%
○ 付表2-6    年齢階級/75～79歳   要介護２                                     3/16     18.8%    18.8%
× 付表2-7    年齢階級/75～79歳   わからない                                    1/16      6.2%     6.3%
× 付表2-8    年齢階級/75～79歳   すでに入所・入居申し込みをしている                        1/16      6.2%     6.3%
○ 付表2-9    年齢階級/75～79歳   利用した                                     7/16     43.8%    43.8%
○ 付表2-9    年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
○ 付表2-10   年齢階級/75～79歳   利用していない                                  3/16     18.8%    18.8%
○ 付表2-10   年齢階級/75～79歳   週1回程度                                    3/16     18.8%    18.8%
× 付表2-10   年齢階級/75～79歳   週5回以上                                    1/16      6.2%     6.3%
○ 付表2-11   年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
× 付表2-12   年齢階級/75～79歳   週1回程度                                    1/16      6.2%     6.3%
× 付表2-13   年齢階級/75～79歳   週3回程度                                    1/16      6.2%     6.3%
○ 付表2-14   年齢階級/75～79歳   利用していない                                  3/16     18.8%    18.8%
× 付表2-14   年齢階級/75～79歳   週1回程度                                    1/16      6.2%     6.3%
× 付表2-14   年齢階級/75～79歳   週3回程度                                    1/16      6.2%     6.3%
○ 付表2-15   年齢階級/75～79歳   利用していない                                  3/16     18.8%    18.8%
× 付表2-15   年齢階級/75～79歳   週1回程度                                    1/16      6.2%     6.3%
× 付表2-15   年齢階級/75～79歳   週2回程度                                    1/16      6.2%     6.3%
× 付表2-15   年齢階級/75～79歳   週3回程度                                    1/16      6.2%     6.3%
× 付表2-15   年齢階級/75～79歳   週4回程度                                    1/16      6.2%     6.3%
○ 付表2-16   年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
○ 付表2-17   年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
○ 付表2-18   年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
○ 付表2-19   年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
○ 付表2-20   年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
○ 付表2-21   年齢階級/75～79歳   利用していない                                  7/16     43.8%    43.8%
× 付表2-22   年齢階級/75～79歳   ない                                       5/16     31.2%    31.3%
× 付表2-22   年齢階級/75～79歳   家族・親族の介護はあるが、週に１日よりも少ない                  1/16      6.2%     6.3%
× 付表2-22   年齢階級/75～79歳   週に１～２日ある                                 1/16      6.2%     6.3%
× 付表2-22   年齢階級/75～79歳   週に３～４日ある                                 1/16      6.2%     6.3%
× 付表2-23   年齢階級/75～79歳   わからない                                    1/16      6.2%     6.3%
× 付表2-24   年齢階級/75～79歳   40代                                      1/16      6.2%     6.3%
× 付表2-24   年齢階級/75～79歳   50代                                      1/16      6.2%     6.3%
× 付表2-24   年齢階級/75～79歳   60代                                      1/16      6.2%     6.3%
○ 付表2-26   年齢階級/75～79歳   日中の排泄                                    3/16     18.8%    18.8%
○ 付表2-26   年齢階級/75～79歳   入浴・洗身                                    3/16     18.8%    18.8%
× 付表2-26   年齢階級/75～79歳   身だしなみ（洗顔・歯磨き等）                           1/16      6.2%     6.3%
× 付表2-27   年齢階級/75～79歳   屋内の移乗・移動                                 1/16      6.2%     6.3%
○ 付表2-27   年齢階級/75～79歳   外出の付き添い、送迎等                              3/16     18.8%    18.8%
× 付表2-27   年齢階級/75～79歳   服薬                                       1/16      6.2%     6.3%
○ 付表2-27   年齢階級/75～79歳   認知症状への対応                                 3/16     18.8%    18.8%
× 付表2-27   年齢階級/75～79歳   食事の準備（調理等）                               1/16      6.2%     6.3%
× 付表2-28   年齢階級/75～79歳   その他の家事（掃除、洗濯、買い物 等）                      1/16      6.2%     6.3%
× 付表2-28   年齢階級/75～79歳   金銭管理や生活面に必要な諸手続き                         1/16      6.2%     6.3%
× 付表2-28   年齢階級/75～79歳   不安に感じていることは、特にない                         1/16      6.2%     6.3%
○ 付表2-29   年齢階級/75～79歳   フルタイムで働いている                              3/16     18.8%    18.8%
