② 営業先マスタ ｜ 北海道179市町村・東北6県227市町村・7道県（計413団体）,,,,,,,,,,,,,,
No,都道府県,自治体名,区分,地域,区域施策編 策定義務,現行 環境基本計画 名称,計画期間 開始年度,計画期間 終期年度,R9年度満了 判定,確認状況,出典・確認先,接触優先度 （仮置き）,次アクション,備考
1,北海道,北海道,道県,―,義務,北海道環境基本計画［第3次計画］,令和3年度(2021),,要確認,一部確認（策定年のみ）,北海道 環境生活部環境政策課。令和3年3月策定。複数回検索したが終期はHTML上で確認できず、計画本文の確認が必要,優先（義務団体・道ルート）,終期の確認と併せて、道の市町村支援・共同策定の枠組みを確認する。営業ルートの選択に直結する,県は市町村支援・共同策定の枠組みを持つ場合があるため、市町村より先に確認する
2,青森県,青森県,道県,―,義務,第6次青森県環境計画（青森県環境総合プラン）,令和6年度(2024),令和10年度(2028),非該当,確認済,青森県 第6次青森県環境計画（令和6年3月）。計画期間は令和6～10年度の5年間,中（R10満了・R9夏に予算要求期）,令和10年度満了のため改定業務は令和10年度。県への接触は令和9年度の夏～秋。並行して県の市町村支援メニューを確認する,県は市町村支援・共同策定の枠組みを持つ場合があるため、市町村より先に確認する
3,岩手県,岩手県,道県,―,義務,岩手県環境基本計画,令和3年度(2021),令和12年度(2030),非該当,確認済,岩手県 環境基本計画ページ（計画期間 令和3年度から令和12年度）,優先（義務団体・県ルート）,終期の前年度に予算が立つため、接触時期をカレンダーに置く,県は市町村支援・共同策定の枠組みを持つ場合があるため、市町村より先に確認する
4,宮城県,宮城県,道県,―,義務,宮城県環境基本計画（第4期）,令和3年度(2021),令和12年度(2030),非該当,確認済,宮城県公式サイト 環境基本計画（第4期）。計画期間は令和3年度～令和12年度,中（県ルート）,令和12年度満了。期間中は県の市町村支援・共同策定の枠組みの有無を確認する,県は市町村支援・共同策定の枠組みを持つ場合があるため、市町村より先に確認する
5,秋田県,秋田県,道県,―,義務,第3次秋田県環境基本計画,令和3年度(2021),,要確認,一部確認（策定年のみ）,秋田県 環境基本計画。第3次を令和3年3月31日に策定。終期は未確認。なお第4次秋田県循環型社会形成推進基本計画は令和3年度～令和7年度,優先（義務団体・県ルート）,計画本文で終期を確認する。10年計画なら令和12年度満了,県は市町村支援・共同策定の枠組みを持つ場合があるため、市町村より先に確認する
6,山形県,山形県,道県,―,義務,第4次山形県環境計画,令和3年度(2021),令和12年度(2030),非該当,確認済,山形県公式サイト 第4次山形県環境計画（令和3年3月策定・10年間）。従前リストの『第3次』は平成23年度～令和2年度で終了済のため計画名を訂正,中（県ルート）,令和12年度満了。期間中は県の市町村支援・共同策定の枠組みの有無を確認する,県は市町村支援・共同策定の枠組みを持つ場合があるため、市町村より先に確認する
7,福島県,福島県,道県,―,義務,福島県環境基本計画（第5次）,令和4年度(2022),,要確認,一部確認（次数・前計画の終了年のみ）,福島県 環境基本計画（第5次）。第4次が令和3年度で終了し、令和3年11月の環境審議会答申を経て第5次を策定。終期は未確認,優先（義務団体・県ルート）,計画本文で計画期間を確認する,県は市町村支援・共同策定の枠組みを持つ場合があるため、市町村より先に確認する
8,北海道,札幌市,市,石狩（振興局）,義務,第2次札幌市環境基本計画,平成30年度(2018),令和12年度(2030),非該当,確認済,札幌市 第2次環境基本計画ページ／資料編PDF（2018-2030）,優先（義務団体）,終期の前年度に予算が立つため、接触時期をカレンダーに置く,
9,北海道,江別市,市,石狩（振興局）,努力義務,えべつアジェンダ21―江別市環境管理計画―,平成7年度(1995),計画期間30年（終期到来・後継未確認）,◇満了期・後継要確認,確認済（30年計画・後期推進計画は令和5年度終了）,江別市 環境管理計画。平成7年度に計画期間30年で策定。後期推進計画は平成26年度から令和5年度で終了済。後継計画の状況は未確認,優先（満了期・後継未確認）,30年計画の終期が到来し、後期推進計画も令和5年度で終了している。後継計画の有無と策定予定を早急に確認する,
10,北海道,千歳市,市,石狩（振興局）,努力義務,第3次千歳市環境基本計画,令和3年度(2021),令和12年度(2030),非該当,確認済,千歳市 第3次環境基本計画（令和3年度～令和12年度）,低（期間先）,令和12年度満了。次期改定は令和11年度頃から予算化を確認する,
11,北海道,恵庭市,市,石狩（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
12,北海道,北広島市,市,石狩（振興局）,努力義務,第3次北広島市環境基本計画,令和3年度(2021),,要確認,一部確認（策定年・一部改定確認）,北広島市 第3次環境基本計画。第2次が令和2年度で10年の期間を終了。令和5年2月のゼロカーボンシティ宣言を受け、令和5年4月に地球環境分野を一部改定,中（終期要確認・期間中改定の実例）,計画PDFで終期を確認する。地球環境分野の一部改定実績があるため、国の2035年度目標を踏まえた再度の部分改定の余地もある,
13,北海道,石狩市,市,石狩（振興局）,努力義務,石狩市環境基本計画（第3次）,令和5年度(2023),令和24年度(2042)頃（20年計画）,非該当,確認済（20年計画）,石狩市 環境基本計画。令和5年3月策定・計画期間20年。第2次は令和2年度で終了,低（20年計画）,20年計画のため改定需要は当面ない。中間見直しの規定の有無だけ確認する,
14,北海道,当別町,町,石狩（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
15,北海道,新篠津村,村,石狩（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
16,北海道,函館市,市,渡島（振興局）,義務,函館市環境基本計画［第3次計画］,令和2年度(2020),,要確認,一部確認（策定年のみ）,函館市／EPO北海道。令和2年3月策定。複数回検索したが終期はHTML上で確認できず、計画PDFの確認が必要。総合計画は2017～2026年,最優先（義務団体・終期要確認）,計画PDFの表紙・第1章で終期を最優先確認する。8年計画なら令和9年度満了で該当、10年なら令和11年度満了,
17,北海道,北斗市,市,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
