環境基本計画 営業先リスト 更新メモ（2026-08-24）,,,,
,,,,
区分,対象,更新内容,営業上の扱い,根拠
追加資料,R9営業検討メモ,"環境基本は北海道158件・R9目標1件・単価2,000千円を確認",北海道は母数最大。R9満了確定先を先に押さえつつ、未確認を追加調査,C:/Users/ryowa/Desktop/R9営業検討_健康増進計画_環境基本計画.md
追加資料,周期表Excel,苫小牧市R5～R12、弘前市R3～R9、函館市・青森市・福島市は期間未確認を確認,周期表の確認状況を営業先マスタへ反映,C:/Users/ryowa/Desktop/各種計画_周期表_北海道東北_総合計画_福島確認版17.xlsx
公式確認,旭川市,H28～R9を公式ページで確認。周期表側の未確認扱いを上書き,北海道の最優先R9満了先,https://www.city.asahikawa.hokkaido.jp/kurashi/271/307/3081/p002786.html
公式確認,士幌町,H30～R9、R5中間見直し・ゼロカーボン追記を公式ページで確認,北海道のR9満了確認済に追加,https://www.shihoro.jp/town/detail.php?content=1097&domain_status=hakgy39gjamvyha022gaz
公式確認,苫小牧市,R5～R12を公式ページで確認。R9満了推定から除外,R8改定諮問ありの期間中改定案件として管理,https://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/kihonkeikaku.html / https://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/shingikai.html
周期表確認,弘前市,第三次環境基本計画 R3～R9を周期表で確認,東北分のR9満了確認済に追加,https://www.city.hirosaki.aomori.jp/jouhou/keikaku/2021-0401-kankyoukihon.html
要確認,函館市・青森市・福島市,追加周期表でも終期未確認,義務団体として最優先確認を継続,添付周期表Excel
注意,EPO北海道,2017年時点の主要自治体一覧。現行終期の確定には公式ページ確認が必要,一次スクリーニング用に位置づけを修正,https://epohok.jp/act/info/partnership/p2/6702
,,,,
2026-08-25 町村改訂時期調査,十勝・オホーツク・釧路の町村未確認先39件,改訂時期のみ確認。06_町村改訂時期_20260825を追加し、根拠のあるものだけ02_営業先マスタへ反映,芽室町はR8策定手続中で最優先。津別町はR5満了・後継未確認で優先。斜里町・遠軽町・浜中町は期間先として除外,自治体公式ページ・添付周期表・公式計画一覧
2026-08-25 反映漏れ解消,芽室町・津別町,06_町村改訂時期の最優先・優先先が01_R9満了候補に載っていなかったため反映。併せて期間未確認の町村6件を要確認ブロックとして追加,芽室町はR8策定手続中で今すぐ接触。津別町はR5満了済で後継の有無を早急に確認,06_町村改訂時期_20260825 行164・行125ほか
2026-08-25 提出仕様,文字コード・ファイル名,文字コード調査報告の結論を適用。07_提出仕様_文字コードを追加し、提出用CSV（既定cp932・CRLF）と半角英数ファイル名モード（--ascii）を実装,行政系へ提出する場合は --ascii で出力する。CP932非対応は '―' 26箇所のみで、CSV書き出し時に '―' へ置換,encodinginvestigation.md ／ naming.py
