⑧ 改定時期調査（2026-08-25 第2回）｜ 義務団体・主要市の未確認先を優先に確認,,,,,,,,,,
区分,都道府県,自治体,義務区分,調査結果,計画名,計画期間,R9満了判定,確認状況,根拠・確認メモ,次確認
■ 終期を特定できた先（確認済）,,,,,,,,,,
終期確定,青森県,青森県,義務,確認済,第6次青森県環境計画（青森県環境総合プラン）,令和6年度(2024)～令和10年度(2028),非該当,確認済,青森県 第6次青森県環境計画（令和6年3月）。計画期間は令和6～10年度の5年間,令和10年度満了のため改定業務は令和10年度。県への接触は令和9年度の夏～秋。並行して県の市町村支援メニューを確認する
終期確定,宮城県,宮城県,義務,確認済,宮城県環境基本計画（第4期）,令和3年度(2021)～令和12年度(2030),非該当,確認済,宮城県公式サイト 環境基本計画（第4期）。計画期間は令和3年度～令和12年度,令和12年度満了。期間中は県の市町村支援・共同策定の枠組みの有無を確認する
終期確定,山形県,山形県,義務,確認済,第4次山形県環境計画,令和3年度(2021)～令和12年度(2030),非該当,確認済,山形県公式サイト 第4次山形県環境計画（令和3年3月策定・10年間）。従前リストの『第3次』は平成23年度～令和2年度で終了済のため計画名を訂正,令和12年度満了。期間中は県の市町村支援・共同策定の枠組みの有無を確認する
終期確定,福島県,福島市,義務,確認済,第3次福島市環境基本計画,令和3年度(2021)～令和7年度(2025),満了済（第4次の期間を要確認）,確認済,福島市公式サイト 環境基本計画（令和3年2月策定）。計画期間は令和3年度～令和7年度の5年間。5年周期のため次の満了も早く来る,令和7年度末で満了済。第4次の策定状況を早急に確認する。策定済みなら次期（令和12年度頃）に向けた関係構築、未策定なら補正・当初での策定提案
終期確定,岩手県,一関市,努力義務,確認済,一関市環境基本計画,平成29年度(2017)～令和8年度(2026),◇今年度が改定年度（R8満了）,確認済,一関市 生活環境課 環境基本計画。計画期間は平成29年度から令和8年度。なお市の地球温暖化対策地域推進計画は令和5年度～令和12年度,令和8年度末で満了＝次期計画は令和9年度開始。改定業務は今年度に実施されるため、既発注か自前策定かを直ちに確認する。発注済みなら範囲外の支援に絞る
終期確定,福島県,会津若松市,努力義務,確認済,会津若松市第3期環境基本計画,令和6年度(2024)～令和12年度(2030),非該当,確認済,会津若松市 第3期環境基本計画（令和6年3月策定・7年間）,令和12年度満了。次期改定は令和11年度頃から予算化を確認する
終期確定,北海道,釧路市,努力義務,確認済,第2次釧路市環境基本計画【改定版】,令和3年度(2021)～令和12年度(2030),非該当（令和6年3月に一部改定）,確認済,釧路市 第2次環境基本計画【改定版】。計画期間は令和3年度～令和12年度。国・北海道の温暖化計画改定を受け、低炭素社会の形成の目標を令和6年3月に改定,計画期間中だが低炭素分野を一部改定した実績がある。国の2035年度目標を踏まえた再度の部分改定の余地を確認する
終期確定,北海道,千歳市,努力義務,確認済,第3次千歳市環境基本計画,令和3年度(2021)～令和12年度(2030),非該当,確認済,千歳市 第3次環境基本計画（令和3年度～令和12年度）,令和12年度満了。次期改定は令和11年度頃から予算化を確認する
終期確定,北海道,石狩市,努力義務,確認済,石狩市環境基本計画（第3次）,令和5年度(2023)～令和24年度(2042)頃（20年計画）,非該当,確認済（20年計画）,石狩市 環境基本計画。令和5年3月策定・計画期間20年。第2次は令和2年度で終了,20年計画のため改定需要は当面ない。中間見直しの規定の有無だけ確認する
