⑨ PDF確認待ち一覧 ｜ 検索では確定できない18件。PDFの計画期間1行で片付く,,,,,,,
優先度,都道府県,自治体,義務区分,現在の状況,計画掲載ページ,PDFで見る場所,確定したら入れる列
■ 対象18件（優先度順）。掲載ページを開き、PDFの計画期間の1行だけ確認する,,,,,,,
最優先,北海道,函館市,義務（中核市）,環境基本計画［第3次計画］ 令和2年3月策定・終期未確認（中核市）,https://www.city.hakodate.hokkaido.jp/docs/2020033100148/,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
最優先,青森県,青森市,義務（中核市）,環境基本計画の有無から要確認（中核市）。計画一覧から探す,https://www.city.aomori.aomori.jp/shisei/machizukuri/1005734/,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
優先,北海道,北海道,義務（道）,北海道環境基本計画［第3次計画］ 令和3年3月策定・終期未確認,https://www.pref.hokkaido.lg.jp/ks/ksk/kihonkeikaku.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
優先,秋田県,秋田県,義務（県）,第3次秋田県環境基本計画 令和3年3月策定・終期未確認,https://www.pref.akita.lg.jp/pages/genre/13255,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
優先,福島県,福島県,義務（県）,福島県環境基本計画（第5次）・終期未確認,https://www.pref.fukushima.lg.jp/sec/16005a/5th-kankyoukihonkeikaku.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,帯広市,努力義務,第三期帯広市環境基本計画 令和2年3月策定・終期未確認,https://www.city.obihiro.hokkaido.jp/kurashi/kankyo/kankobutsu/1003775.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,北広島市,努力義務,第3次北広島市環境基本計画 令和3年度～・終期未確認,https://www.city.kitahiroshima.hokkaido.jp/hotnews/detail/00140680.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,北見市,努力義務,第2次北見市環境基本計画（改定版）・期間未確認,https://www.city.kitami.lg.jp/detail.php?content=4642,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,宮城県,大崎市,努力義務,第2次大崎市環境基本計画 令和2年3月策定・終期未確認,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/shiminkyodousuishimbu/kankyohozenka/3/3329.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,山形県,鶴岡市,努力義務,第2次鶴岡市環境基本計画・期間未確認,https://www.city.tsuruoka.lg.jp/seibi/kankyo/kihonkeikaku/dainizi_kankyoukihon.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,小樽市,努力義務,環境基本計画の有無・期間とも未確認。計画一覧から探す,https://www.city.otaru.lg.jp/categories/bunya/keikaku/,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,青森県,十和田市,努力義務,環境基本計画の有無から要確認。各種計画等一覧から探す,https://www.city.towada.lg.jp/shisei/other/2024-1220-1521-66.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,上士幌町,努力義務,第2次上士幌町環境基本計画 令和6年度策定・終期未確認,https://www.kamishihoro.jp/page/00000416,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,新得町,努力義務,環境基本計画・温対・適応計画の一体掲載・期間未確認,https://www.shintoku-town.jp/gyousei/koukai_kouhyou/tyoumin/kankyoukihonkeikaku/,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
